Table 5.  devices in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
,NCT03711825,Early P1,AD,8,"Through study completion, up to 29 d",Gastric retention by imaging assessment by MRI; Gastric retention by imaging assessment by abdominal U/S; Safety and tolerability of a single dose of LYN-057 extended release capsule; Memantine HCl pharmacokinetics - Maximum Plasma Concentration (Cmax); Memantine HCl pharmacokinetics - Time after administration of maximum plasma concentration (Tmax); Memantine HCl pharmacokinetics - Area Under the Curve (AUC); Physical features of recovered formulation components,,2018,2019; Completed,,,
,NCT03641768,N/A,AD,0,Baseline,Cortical thickness as measured by MRI scans; Beta amyloid plaques as measured by PET scans; Tau proteins as measured by PET scans,,2018,2018; Withdrawn,,,
,NCT02058732,N/A,ALS,6,5 years,Changes in spinal cord metabolites in treated ALS subjects and nontreated ALS subjects.,,2014,2018; Terminated,,,
,NCT02000713,N/A,ALS,20,3 years,Study levels of N-acetylaspartate (NAA)in the cervical spinal cord.; Fractional anisotropy in the cervical spinal cord,,2013,2018; Terminated,,,
,NCT02453763,,"AD, PD",17,Day 1,Magnetic Resonance Imaging (MRI) of therapeutic current flow,,2015,2018; Completed,,,
,NCT03275363,,"MCI, AD",500,1 year,Cognitive decline; Functional decline; Neuropsychiatric decline; Quality of life decline; Change in cognitive impairment status,,2017,2017; Recruiting,,,
,NCT02796040,N/A,PD,75,1 day,"Fractional anisotropy (data of diffusion tensor imaging, a technique of MRI); Fractional anisotropy in préfrontal cortex; Volume of ventral tegmental area; Number of fibers between ventral tegmental area and other structures of the reward system",,2016,2016; Unknown status,,,
,NCT01325259,P2,"AD, MCI",54,inclusion,Standard Uptake Value Ratios (SUVr),,2011,2016; Completed,,,
,NCT00987090,N/A,AD,240,3 years,"to establish the impact of age on the clinical and neuroimaging picture of sporadic Alzheimer Disease in a multicentric setting.; to describe for each age group, and in particular for the younger patient group, the functional impact of disability in everyday life on both, patients and caregivers.",,2009,2015; Unknown status,,,
,NCT00757939,P1,AD,40,"1 week, 6 and 12 m","Regional cerebral blood flow, as measured by dASL.; Rate of cerebral glucose consumption, MRglc, as measured by fludeoxyglucose-PET (FDG-PET); Resting state functional MRI blood-oxygen-level-dependent (fMRI BOLD) response",,2008,2015; Completed,,,
,NCT02319382,N/A,PD,46,Inclusion visit,Accumulation of [18F]DPA-714 in the midbrain assessed through PET,,2014,2015; Unknown status,,,
,NCT01993628,N/A,AD,80,At inclusion,Score obtained at the Rey figure test with a planning strategy help by LBD patients compared to the score obtained by AD patients.,,2013,2013; Unknown status,,,
,NCT01876459,N/A,AD,265,Day one.,rate of alpha-synuclein in cerebrospinal fluid,,2013,2013; Unknown status,,,
Sham Transcranial Magnetic Stimulation,NCT02420522,P2,MCI,64,Three w,Cognitive changes,,2015,2021; Suspended,,,
,NCT03121066,N/A,AD,45,3 d after the end of the treatment,Change in Cognitive improvement; Functional capacity changes; Mood changes; Changes in brain connectivity,,2017,2019; Not yet recruiting,,,
Sham,NCT04360044,P2,CBD,120,24 hours and 48 hours,Headache Pain Relief at 2 Hours Post-Treatment; Headache pain freedom; Most bothersome symptom freedom; Headache pain relief; Freedom from photophobia; Freedom from phonophobia; Use of rescue medication; Sustained pain freedom; Sustained most bothersome symptom freedom,,2020,2021; Recruiting,,,
,NCT04762823,N/A,PD,48,"Through study completion, up to 12 m","Movement Disorder Society version of the Unified Parkinson's Disease Rating Scale (MDS-UPRDS); Fatigue Severity Scale (FSS); Multidimensional Fatigue Inventory (MFI); 30-meter walk test, single-task (30mWT-ST; 2 trials); 30-meter walk test, dual-task (30mWT-DT; 2 trials); 6-minute walk test (6MWT; 1 trial); 9-hole peg test (9-HPT; two trials with each hand); Reaction time test (simple and choice; 1 trial each); Flanker Inhibitory Control and Attention Test (1 trial); Trail Making Test A and B (TMT A/B; 1 trial each); Berg Balance Scale (BBS); Static Posturography.; Brain activity PET Imaging with [18F]Fluorodeoxyglucose (FDG)",,2021,2021; Not yet recruiting,,,
,NCT03875326,N/A,"MCI, AD",240,"After each HD-tDCS Session, daily",Change in Lateral Temporal Cortex Connectivity; Self-Report of Contentment with Memory; Self-Report of Memory Mistakes; Self-Report of Memory Strategies Used; Change in Memory Functioning; Change in Overall Fluid Cognitive Abilities; Cumulative Working Memory Effects of HD-tDCS across daily sessions; Cumulative Memory Accuracy Effects of HD-tDCS across daily sessions; Cumulative Memory Reaction Time Effects of HD-tDCS across daily sessions; Tolerability of HD-tDCS; Effectiveness of Blinding of HD-tDCS; Change in Default Mode Network Connectivity; Change in Inhibition Ability; Change in Conceptualization Ability; Change in Picture Sequence Memory; Change in Working Memory Ability; Change in Processing Speed; Cumulative Working Memory Performance Effects of HD-tDCS across daily sessions; Change in Global Cognition; Change in Visuospatial Functioning; Change in Language Functioning; Change in Attention; Change in Cognitive Functioning; Cumulative Cognitive Change across Daily Consecutive Sessions,,2019,2020; Recruiting,,,
,NCT04589182,N/A,"HD, MCI, PD",12,"before and after intervention (day 1 and 4, day 7 and 10)",Subjective sleep quality; Pilot study: feasibility of acoustic SWS enhancement; Vigilance; Sleep benefit on motor performance; Momentary sleepiness; Average sleepiness; Mood; Restorative effect of sleep; Slow wave enhancement; Auditory stimulation algorithm performance; Pilot study: changes in mood; Pilot study: changes in sleep quality; Pilot study: changes in sleepiness,,2020,2020; Recruiting,,,
,NCT03446508,N/A,MCI,60,"Baseline (before the first HD-tDCS session), immediate post (immediately after the last HD-tDCS session) and 1 month follow up (1 month after the last HD-tDCS session)",Memory retrieval/word finding assessment.; Electroencephalography (EEG).,,2018,"2020; Active, not recruiting",,,
,NCT03328195,N/A,AD,60,12 w,Change in the Severe Impairment Battery (SIB) score - An assessment of Severe Dementia in the elderly.; Device safety according to the number of device-related adverse events; Change in the Severe Impairment Battery score - An assessment of Severe Dementia in the elderly.; Change in the Alzheimer's Disease Cooperative Study - Activities of Daily Living for Severe Alzheimer's Disease (ADL SAD) score; Change in the Neuropsychiatric Inventory (NPI) score which assesses behavioral changes in neurologic illnesses based on a standardized caregiver interview.; Change in the Alzheimer's Disease Cooperative Study - Clinical Global Impression of Change (ADCS CGIC) score.; Change in the Electroencephalogram's (EEG) overall power spectral density; Caregiver reported treatment compliance,,2017,2020; Recruiting,,,
,NCT04122001,N/A,AD,60,"One week before intervention and one week post intervention, up to 8 w","Change in auditory recall accuracy based on the sum of words recalled in Trials 1-5 of semantically related - trained word-lists; Change in auditory delayed recall accuracy of semantically related - trained word-lists; Change in auditory recall accuracy based on the sum of words recalled in Trials 1-5 of semantically unrelated - trained word-lists; Change in auditory delayed recall accuracy of semantically unrelated - trained word-lists; Change in auditory recall accuracy based the sum of words recalled in Trials 1-5 of semantically related - untrained word-lists; Change in auditory delayed recall accuracy of semantically related - untrained word-lists; Change in auditory recall accuracy based on the sum of words recalled in Trials 1-5 of semantically unrelated - untrained word-lists; Change in auditory delayed recall accuracy of semantically unrelated - untrained word-lists; Change in Rey Auditory-Verbal Learning Test (RAVLT) score; Change in Mini Mental State Examination (MMSE); Change in Mnemonic Similarity Task (MST) score; Change in word repetition score; Change in non-word repetition score; Change in sentence repetition score; Change in oral naming Boston Naming Test score; Change in oral naming Philadelphia Naming Test score; Change in written naming as assessed by Boston Naming Test; Change in written naming as assessed by Philadelphia Naming Test; Change in oral naming of action as assessed by Hopkins Assessment of Naming Actions (HANA); Change in syntactic comprehension as assessed by Subject-relative, Object-relative, Active, Passive (S.O.A.P.) Syntactic Battery; Change in verbal fluency task score; Change in spelling as assessed by the Johns Hopkins Dysgraphia battery; Change in digit span forward score; Change in digit span backward score; Change in spatial span forward score; Change in spatial span backward score; Change in semantic content of connected speech; Change in attention and manipulation of information scores; Change in volumetric measurements of select brain regions; Change in functional connectivity of select brain regions (z-correlations); Change in Gamma-Aminobutyric Acid (GABA) concentration; Change in location of white matter tracts of select brain regions; Change in anisotropy of white matter tracts of select brain regions; Correlation of primary and secondary outcomes with sleep efficiency",,2019,2020; Recruiting,,,
,NCT04182529,N/A,MCI,40,"through study completion, an average of 2 year",N-Back Test (cognitive test battery); Category Fluency Test; The Hong Kong List Learning Test; The Chinese Version of the Mattis Dementia Rating Scale; NIRS Recording; EEG Recordings,,2019,2019; Recruiting,,,
,NCT00856518,P2/P3,PD,42,at baseline and after 5-week of EMST exercise,Swallow-related Quality of Life (SWAL-QOL); Penetration-Aspiration Scale Score; Maximum Expiratory Pressure (MEP),,2009,2017; Completed,,,
,NCT02221544,N/A,PD,20,One week post intervention,Changes in frequency and severity of the freezing of gait phenomenon; Community ambulation; Changes in endurance; Balance; Immediate changes in blood pressure; Immediate change in gait function,,2014,2014; Unknown status,,,
,NCT01885806,P2,AD,40,"4th week, 8th week, 12th week",Change in apathy symptoms; Change in ADAS-Cog scores; Change in the Zarit Burden Scale; Safety assessment,,2013,2013; Unknown status,,,
Sham Stimulation,NCT04157621,N/A,PD,30,Screening to Day 13 (Visit 9),Change in Motor Function score as assessed by modified Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) Part III; Change in Cognitive Function score,,2019,2021; Recruiting,,,
,NCT02351388,N/A,AD,4,baseline,Attrition rate due to any adverse event; Rate of adverse events related to tDCS procedure; Geriatric Depression Scale; Cornell Scale for Depression in Dementia; Neuropsychiatric Inventory; Zarit Burden Interview; Clinical Global Impression of Improvement; Starkstein Apathy Scale; Clinical Dementia Rating; Quality of Life - Alzheimer's Disease; ADCS-ADL,,2015,2020; Terminated,,,
transcranial direct current stimulation (tDCS),NCT04759092,N/A,AD,8,8 m,To investigate tolerability; To investigate effect of the treatment,,2021,2021; Recruiting,,,
,NCT04237948,N/A,"PD, PSP",20,Changes from Baseline to immediately after stimulation,PSP rating scale (PSP-RS); Falls; Cognitive testing; Static Balance- area of sway; Tinetti Balance test (TBT); Static Balance: wearable sensor analyses - velocity; Gait speed; Turning speed; Activity of daily living,,2020,2020; Completed,,,
,NCT03422250,N/A,"AD, FTDLD",66,"Baseline, post tDCS (week 3)",Change from baseline in behavioral symptom severity; Change from baseline in clinical disease severity; Change from baseline in functional connectivity; Change from baseline in perfusion; Change from baseline in cognition: memory; Change from baseline in cognition: language; Change from baseline in cognition: executive function; Change from baseline in cognition: visuospatial function; Change from baseline in cognition: emotion recognition; Change from baseline in structural connectivity,,2018,2018; Completed,,,
,NCT03227783,N/A,PD,26,"(1) before the 1st visit (within one month) (2) after the 3rd tDCS, within 24 hours (on the same day as the 3rd tDCS)",BDI score; HDRS score; MADRS score; resting state functional MRI,,2017,2018; Recruiting,,,
,NCT02287207,N/A,PD,20,post-stimulation (immediately after) and retention (1 week),Change in writing amplitude; Change in writing velocity; Change in speed on the Purdue Pegboard task; Change in cortical excitability; Change in Short-Latency Intracortical Inhibition (SICI); Change in cortical silent period (cSP),,2014,2016; Completed,,,
rTMS,NCT03373981,N/A,ALS,15,recorded once a week for the 4 week duration of the study.,To evaluate safety and efficacy of repetitive transcranial magnetic stimulation (rTMS) using the FDA approved protocol in research subjects with ALS and other Neurodegenerative disorders.; To understand the impact of rTMS in addressing the mood symptoms associated with ALS.,,2017,2021; Recruiting,,,
,NCT04176406,N/A,MCI,10,Through study completion an average of one year,"Acute Effect of a rTMS Session on the Performance for a Working Memory Task, as Measured by Reaction Times (ms); Acute Effect of a rTMS Session on the Performance for a Working Memory Task, as Measured by Accuracy (in Percentage)",,2019,2021; Terminated,,,
,NCT03059212,N/A,PD,60,up to 12 w,Change of Repeatable Battery for the Assessment of Neuropsychological Status; Change of Montreal Cognitive Assessment ; MoCA,,2017,2021; Recruiting,,,
,NCT03217110,N/A,PD,200,During the 1 week of treatment comparing pre- and post-stimulation scans.,"Schizophrenia group: Change in Calgary depression scale.; Bipolar group: Change in Young Mania Rating Scale.; Change in cognitive function.; Change in disease-specific symptom rating scale, one scale identified for each group (MADRS for bipolar group; PANSS for schizophrenia group; UPDRS in Parkinson's patient group).; Change in brain rhythms; Change in cognitive function; Changes in functional MRI; Change in NIH Toolbox emotion battery; Change in motor function; Bipolar group: Change in Columbia Suicide Severity Rating Scale.; Change in PHQ9 score.; Change in CGI.; Changes in structural MRI.; Changes in MRI-based timing task.; Changes in DTI.; Changes in T1 rho MRI signal.",,2017,2020; Recruiting,,,
,NCT03342846,N/A,PD,40,Two w,change in motor disability; Changes in Cortical excitability,,2017,2020; Completed,,,
,NCT04263194,N/A,AD,60,"At baseline (T0), up to 4 w (T1), through study completion, an average of 6 m (T2)",Change in ADAS-Cog scale scores; Change in CANTAB battery scores; Change in brain connectivity; Change in brain plasticity; Change in MRI measures of functional and structural connectivity,,2020,2020; Recruiting,,,
,NCT03879551,N/A,PD,30,10 d,changes in Mini Mental State Examination (MMSE); changes in Montreal cognitive assessment scale (MoCA); Event related potential P300; motor part of Unified Parkinson's disease rating scale (UPDRS); changes in cortical excitability,,2019,2020; Completed,,,
,NCT04431570,N/A,PD,66,"through study completion, an average of 10 d",the change of freezing of gait questionnaire (FOGQ); the change of freezing of gait score (FOG score); the change of score of Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) part III; the change of Hamilton Depression (HAMD) Scale; the change of Mini-mental State Examination (MMSE) scale; the change of Parkinson's Disease Questionnaire (PDQ-39); functional image of the brain (FMRI),,2020,2020; Not yet recruiting,,,
,NCT03892382,N/A,ALS,0,"Baseline rTMS, four w after finishing rTMS","Apathy Evaluation Scale Clinical Version second follow up, total score, range 18 to 72 with higher values representing a worse outcome; Lateral Sclerosis Functional Rating Scale-Revised after rTMS, total score, range 0 to 40 with higher values representing a better outcome; Apathy Evaluation Scale Clinical Version after rTMS, total score, range 18 to 72 with higher values representing a worse outcome; Apathy Evaluation Scale Clinical Version first follow up, total score, range 18 to 72 with higher values representing a worse outcome; Lateral Sclerosis Functional Rating Scale-Revised first follow up, total score, range 0 to 40 with higher values representing a better outcome; Lateral Sclerosis Functional Rating Scale-Revised second follow up, total score, range 0 to 40 with higher values representing a better outcome; Beck's Depression Inventory ater rTMS, total score, range 0 to 63, with higher values representing a worse outcome; Beck's Depression Inventory first follow up, total score, range 0 to 63, with higher values representing a worse outcome; Beck's Depression Inventory second follow up, total score, range 0 to 63, with higher values representing a worse outcome",,2019,2020; Withdrawn,,,
,NCT04222218,N/A,"PD, PSP",20,Changes from Baseline to immediately after stimulation,"Short Physical Performance Battery, total time (SPPB); Timed up and Go tests, total time (TUG); Static Balance tests, total time; Tinetti Balance test (TBT); Static Balance- area of sway; PSP rating scale (PSP-RS); Static Balance: wearable sensor analyses - velocity; Static Balance: wearable sensor analyses - acceleration; Static Balance: wearable sensor analyses - jerk",,2020,2020; Completed,,,
,NCT02468804,N/A,PD,120,Change immediately after a single session TMS (pre will be done 1 week prior),Performance on working memory task (N-back task),,2015,"2019; Active, not recruiting",,,
,NCT02537496,N/A,AD,36,Change from baseline at 7 d and 6 m after intervention.,Change in N-back Task Performance; Changes in Theta Phase-Gamma Amplitude Coupling; Changes in DLPFC Neuroplasticity; Changes in Cognitive Function Measures Scores; Validating a new scale for insight in Alzheimer's disease.,,2015,2019; Completed,,,
,NCT03497884,N/A,PD,38,"through study completion, an average of 1 year",degree of enhanced neuro-activity associated with frequency-specific treatment,,2018,2018; Completed,,,
,NCT02850159,N/A,PD,32,"Assessed at T0, pre-NIBS at day 1 and T1, immediately after NIBS at day 5",Change of Freezing of Gait Questionnaire (FOG-Q),,2016,2017; Completed,,,
,NCT02190019,P4,MCI,14,8 w,Apathy Evaluation Scale (AES); Trials making test; Exit 25,,2014,2016; Unknown status,,,
,NCT01885806,P2,AD,40,"4th week, 8th week, 12th week",Change in apathy symptoms; Change in ADAS-Cog scores; Change in the Zarit Burden Scale; Safety assessment,,2013,2013; Unknown status,,,
RTMS,NCT03778151,N/A,AD,50,change from baseline to Week 24,Clinical Dementia Rating scale (CDR) sum of boxes; Alzheimer's Disease Assessment Scale Cognitive Subscale (ADAS-Cog); Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL); Neuropsychiatric Inventory (NPI); Frontal Assessment Battery (FAB); Immediate and delayed total recall score from the Rey Auditory Verbal Learning test (RAVLT); Cortical activity (TMS-EEG),,2018,2021; Completed,,,
,NCT02621424,N/A,MCI,32,immediately following treatment and 4 m later,Changes in Animal Fluency After Treatment and 4 Months Later; Changes in BDNF Levels in Serum and/or CSF After Treatment and 4 Months Later; Changes in Boston Naming After Treatment:; Changes in Trail Making After Treatment and 4 Months Later; Changes From Baseline CVLT Scores After Treatment and 4 Months Later,,2015,"2020; Active, not recruiting",,,
Magnetic Resonance Imaging (MRI),NCT03699644,N/A,"FTDLD, AD",50,45 Minutes,Presence of Retinal Thinning; Presence of Amyloid Plaque; Presence of Brain Pathology; Presence of Brain Metabolism; Presence of Macular Vascular Anomalies,,2018,2021; Suspended,,,no
,NCT02816645,N/A,PD,160,at 1 year,Change from baseline activities of daily living; Change from baseline freezing; change from baseline cognitive function; Change from baseline cerebral R2*; Change from baseline Parkinson's disease clinical symptoms; Change from baseline severity of Parkinson's disease; Change from baseline hyper and hypo dopaminergic symptoms scores; Change from baseline sleepiness score; Change from baseline autonomic functions score; Change from baseline non-motor symptoms score; Change from baseline apathy score; Change from baseline depression score; Change from baseline anxiety score,,2016,2019; Recruiting,,,
,NCT03022357,,PD,145,12 m,"Presence or absence of ""swallow tail"" on nigrosome MRI at 3T",,2017,2018; Unknown status,,,
,NCT02843906,N/A,"MCI, AD",180,40 minutes,Functionnal/Cognitive evaluation; Psychatric evaluation; Brain MRI,,2016,2016; Unknown status,,,
,NCT02089555,,"MCI, AD",135,one time only,CSF endothelial marker levels; CSF Alzheimer's biomarker levels; MRI evidence of small vessel disease; MRI evidence of brain atrophy,,2014,2016; Completed,,,
,NCT00106899,,AD,818,,,,2005,2014; Completed,,,
transcranial Direct Current Stimulation (tDCS),NCT04504422,N/A,PD,24,Immediately after a 20-minute tDCS session,Cognitive dual-task interference (%) in Timed-up & go test; Physical dual-task interference (%) in Timed-up & go test; Timed-up & go test (sec): single task; Timed-up & go test (sec): cognitive dual-task; Timed-up & go test (sec): physical dual-task; Stroop test; Trail making test; Digit span test,,2020,2021; Recruiting,,,
,NCT02959502,N/A,"AD, MCI",40,Baseline to 8 w after baseline.,"Feasibility of training a facilitator (caregiver) to facilitate the administration of CR+tDCS to their ""patient"" partner as indicated by a positive response in the Perceived Competence Scale at 24 months from study baseline.; Assess change in Quality of Life Scale scores among patients between baseline and at the end of the 8-week course.; Measure the change in Quality of Life Scale scores among facilitators between baseline and at the end of the 8-week course.; Measure the change in cognition (as indicated by a change in the Sheehan Disability Scale) among patients between baseline and at the end of the 8-week course; Measure the change in cognition (as indicated by a change in the Sheehan Disability Scale) among facilitators between baseline and at the end of the 8-week course",,2016,2021; Recruiting,,,
,NCT02386670,N/A,MCI,375,"Approximately 4, 12, 24, 36, 48, 60 m after baseline",Change in cognitive scores over time; Percentage of subjects who remain free of MCI or dementia over time,,2015,"2020; Active, not recruiting",,,
,NCT02873546,N/A,AD,52,"baseline, day 5 and 3 w post-tDCS",change from baseline cognitive functions at 3 weeks,,2016,2017; Unknown status,,,
MRI scan,NCT02664571,N/A,AD,0,Day 0,PET scan with Florbetaben: Standardized Uptake Value Ratio; On the reference MRI: the number of lobar hemorrhages; On the reference MRI: the locations of lobar hemorrhages; On the reference MRI: The presence/absence classification for superficial siderosis; On the reference MRI: the locations of superficial siderosis; On the reference MRI: the absolute quantitative count of microbleeds; On the reference MRI: microbleed count category; On the reference MRI: The predominant location of microbleeds; On the reference MRI: a measure of leukoencephalopathy using the ARWMC scale; Apolipoprotein E genotype,,2016,2021; Withdrawn,,,no
,NCT04228172,,PD,32,Baseline and 18 m later,Increase in PD related metabolic pattern expression; Increase in PD related functional pattern expression; Change in motor function; Change in cognitive function,,2020,2020; Recruiting,,,
Sham tDCS,NCT03325205,N/A,AD,19,4 m,Performance on Neuropsychological tests; Hippocampal volume,,2017,2021; Completed,,,
,NCT02596906,N/A,MCI,22,Two longitudinal measurements at baseline and 1-month,Regional Brain Blood Flow Change Immediately After 1 Month of Cognitive Training and tDCS Brain Stimulation; Change From Baseline in California Verbal Learning Task Score,,2015,2021; Completed,,,
,NCT04457973,N/A,AD,40,end of intervention (day 5),"Pain as assessed by the Mobilization-Observation-BehaviorIntensity-Dementia (MOBID-2) scale; Clinical pain as assessed by a numerical rating scale (NRS); Behavioral and psychological symptoms of dementia (BPSD) as measured by Agitation as measured by the Cohen-Mansfield Agitation Inventory (CMAI); Behavioral and psychological symptoms as assessed by neuropsychiatric inventory (NPI); Change in pain related cortical response using a continuous wave, multichannel Functional near-infrared spectroscopy (fNIRS) imaging system; Acceptability as measured by the tDCs experience questionnaire; Patient satisfaction as measured by the Client Satisfaction Questionnaire (CSQ)",,2020,2020; Recruiting,,,
,NCT03189472,N/A,PD,31,5 Weeks,Number of participants having completed 80% sessions,,2017,2020; Completed,,,
,NCT02940457,N/A,MCI,0,4 w,"Brain activation measured with NIRS; Reaction times, errors and number of generated words in neuropsychological tasks; T1 weighted magnetic resonance Imaging (MRI) of the brain; Blood sampling",,2016,2020; Withdrawn,,,
,NCT04046055,N/A,PD,7,"Through study completion, up to 6 m","Time to complete the fast 30 meter walk test; Distance walked in the 6 Minute Walk Test; Time to complete the Timed Up and Go test; Movement of the center of pressure (2D; forward-backward, left-right) while standing on a firm surface (force platform) for 1 minute; Movement of the center of pressure (2D; forward-backward, left-right) while standing on a foam surface (6 cm foam pad placed on top of force platform) for 1 minute; Movement of the center of pressure (1D; forward-backward) while standing on a firm surface for 1 minute; Movement of the center of pressure (1D; forward-backward) while standing on a foam surface for 1 minute; Movement of the center of pressure (1D; left-right) while standing on a firm surface for 1 minute; Movement of the center of pressure (1D; left-right) while standing on a foam surface for 1 minute",,2019,2020; Completed,,,
,NCT03670615,N/A,"AD, MCI",30,Change over 2 w (Midpoint to Endpoint),Change in global cognitive function: The Montreal Cognitive Assessment (MoCA) Total Scores; Changes in concentration of blood biomarkers of brain plasticity; Change in neuropsychiatric symptoms: The Neuropsychiatric Inventory (NPI); Change in cognition: n-back reaction time; Change in cognition: n-back accuracy; Change in cognition: The Word Recall Task from the Alzheimer's Disease Assessment Scale-Cog (ADAS-Cog); Change in cognition: The Word Recognition Task from the Alzheimer's Disease Assessment Scale Cog (ADAS-Cog),,2018,2020; Recruiting,,,
,NCT02656316,N/A,PD,85,short (two w) after treatment and long term following (11 w) after treatment,Changes in frequency and severity of the freezing of gait phenomenon; Changes in cognitive performance; Immediate change in gait mesurments,,2016,"2019; Active, not recruiting",,,
,NCT02315781,N/A,PD,3,12 w,HAMD score; Dopamine levels,,2014,2018; Terminated,,,
,NCT02587338,N/A,MCI,50,4 w,Neuropsychological performance in neuropsychological tests; Brain activation measured with NIRS,,2015,2018; Completed,,,
,NCT03313518,N/A,AD,30,ten d,"Change in measurement of improvement in cognitive function by using MMSE; Change in measurement of improvement in cognitive function by cornell Scale; The change of measurement of brain damage biomarkers modulation in plasma (i.e. Tau, Beta-Amyloid, Lipid Peroxidation) cornell Scale",,2017,2017; Completed,,,
,NCT02503930,N/A,PD,60,One week post intervention,Changes in frequency and severity of the freezing of gait phenomenon; fMRI scans - changes in gray matter (GM) volume; fNIRS related frontal lobe activation - changes in tissue oxygenation; Changes in cognitive performance; Immediate change in gait speed; Immediate change in gait variability,,2015,2015; Unknown status,,,
,NCT02205216,N/A,PD,40,"from baseline to follow-up periods (immediately, 1 and 3 m after the last intervention)",Walking parcours; New Freezing of Gait Questionnaire (N-FOGQ); Movement Disorders Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS); 39-Item Parkinson's Disease Questionnaire (PDQ-39); Beck Depression Inventory (BDI); 10 Meter Walk Test (10MWT); Timed Up & GO (TUG),,2014,2015; Unknown status,,,
,NCT02125383,N/A,PD,9,During each sleep study,PD motor scores measured by Kinesia HomeView; Sleepiness; tDCS sensations; Motor scores measured by the Unified Parkinson's Disease Rating Scale; Overnight Polysomnography,,2014,2015; Completed,,,
Anodal tDCS,NCT03325205,N/A,AD,19,4 m,Performance on Neuropsychological tests; Hippocampal volume,,2017,2021; Completed,,,
,NCT03638531,P2,PD,40,"Baseline, 1 day post, 2 w post, 4 w post",Force error in the precision grip task; Handwriting task performance; Transfer of motor learning,,2018,2018; Unknown status,,,
SHAM,NCT04251728,N/A,PD,40,12 w,Timed up and go; Heart rate variability; Peak oxygen uptake; Oxygen uptake at the ventilatory anaerobic threshold; 24-h blood pressure; Sleep quality,,2020,2021; Recruiting,,,
,NCT01782391,N/A,MCI,22,4 w,"Retention of declarative memories after 0.75 Hz stimulation during SWS, vs after sham stimulation during SWS; Amount of Slow wave Sleep, spindels, eeg-correlates, further memory systems",,2013,2016; Unknown status,,,
sham,NCT02621424,N/A,MCI,32,immediately following treatment and 4 m later,Changes in Animal Fluency After Treatment and 4 Months Later; Changes in BDNF Levels in Serum and/or CSF After Treatment and 4 Months Later; Changes in Boston Naming After Treatment:; Changes in Trail Making After Treatment and 4 Months Later; Changes From Baseline CVLT Scores After Treatment and 4 Months Later,,2015,"2020; Active, not recruiting",,,
,NCT02417415,N/A,MSA,21,1 hour and 2 hours of heat stress or when Tcore increases 1ºC,Systolic blood pressure; Hemodynamic measures,,2015,2020; Enrolling by invitation,,,
,NCT02657681,P2,PD,50,"Baseline, one day and one week after the end of treatment","Change from baseline of the maximal dyskinesia severity within 90min after levodopa intake, as measured by objective evaluation with the Unified Dyskinesia Rating Scale (UDysRS) one day after the end of treatment.; Change from baseline of the maximal dyskinesia severity within 90min after levodopa intake, as measured by objective evaluation with the Unified Dyskinesia Rating Scale (UDysRS) one week after the end of treatment.; Dyskinesia severity evaluated for each body segment; Subjective evaluation of the treatment, as measured by the patient global impression of change (PGIC); Change from baseline in motor symptoms, as measured by the MDS-UDPRS III scale",,2016,2018; Completed,,,
,NCT01825330,N/A,AD,131,12 w,Efficacy; Safety,,2013,2016; Completed,,,
Active tDCS,NCT04655079,N/A,PSP,24,Baseline (T0); At 3-month (T3),Change from baseline to 3-month follow up in verbal fluency task; Change from baseline to 3-month follow in motor symptoms as assessed with sensor recordings (OPAL system); Change from baseline to 3-month follow up in cognitive symptoms as assessed with cognitive evaluation; Change from baseline to 3-month follow up in caregiver distress as assessed with behavioural evaluation,,2020,2020; Not yet recruiting,,,
,NCT04457973,N/A,AD,40,end of intervention (day 5),"Pain as assessed by the Mobilization-Observation-BehaviorIntensity-Dementia (MOBID-2) scale; Clinical pain as assessed by a numerical rating scale (NRS); Behavioral and psychological symptoms of dementia (BPSD) as measured by Agitation as measured by the Cohen-Mansfield Agitation Inventory (CMAI); Behavioral and psychological symptoms as assessed by neuropsychiatric inventory (NPI); Change in pain related cortical response using a continuous wave, multichannel Functional near-infrared spectroscopy (fNIRS) imaging system; Acceptability as measured by the tDCs experience questionnaire; Patient satisfaction as measured by the Client Satisfaction Questionnaire (CSQ)",,2020,2020; Recruiting,,,
,NCT03189472,N/A,PD,31,5 Weeks,Number of participants having completed 80% sessions,,2017,2020; Completed,,,
,NCT02656316,N/A,PD,85,short (two w) after treatment and long term following (11 w) after treatment,Changes in frequency and severity of the freezing of gait phenomenon; Changes in cognitive performance; Immediate change in gait mesurments,,2016,"2019; Active, not recruiting",,,
,NCT02503930,N/A,PD,60,One week post intervention,Changes in frequency and severity of the freezing of gait phenomenon; fMRI scans - changes in gray matter (GM) volume; fNIRS related frontal lobe activation - changes in tissue oxygenation; Changes in cognitive performance; Immediate change in gait speed; Immediate change in gait variability,,2015,2015; Unknown status,,,
