Table 2.  Disease-modifying drugs in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
Valaciclovir 500Mg Tablet,NCT02997982,P2,"MCI, AD",33,Treatment day 28,Cerebrospinal fluid (CSF) Total Tau; Cerebrospinal fluid (CSF) Neurofilament light chain (NFL); Cerebrospinal fluid (CSF) phosphorylated Tau (p-Tau); Cerebrospinal fluid (CSF) Amyloid beta 1-42; PET/CT: [18F]-FHBG accumulation within the central nervous system (CNS); PET/CT: Location of [18F]-FHBG accumulation; PET/CT: [18F]-FHBG accumulation; Mini Mental State Examination - Swedish Revision (MMSE-SR); Cerebrospinal fluid (CSF) acyclovir concentration; Cerebrospinal fluid (CSF) 9-carboxymethoxymethylguanine (CMMG) concentration; Serum acyclovir concentration; Serum 9-carboxymethoxymethylguanine (CMMG) concentration; Proportion completing the [18F]-FHBG-PET/CT investigations; Proportion completing the 28 days treatment with valaciclovir at specified doses,,2016,2020; Completed,,,
deferiprone,NCT02880033,N/A,"ALS, PD",90,12 m,hydroxyl radical measured; adenosine triphosphate production measured by seahorse; oxygen consumption measured by seahorse; free reactive iron (ferrous iron); lipid peroxidation measured by Fluorescence-activated cell sorting,,2016,2020; Completed,,,
repetitive transcranial magnetic stimulation (rTMS),NCT04294888,N/A,"MCI, AD",40,up to 5 w,Paired Associative Face Name Memory Test; Changes in intrinsic functional connectivity,,2020,2020; Recruiting,,,device
"Metabolic Cofactor Supplementation, Sorbitol",NCT04044131,P2,"AD, PD",120,4 w and 12 w,"Mini Mental State Examination (MMSE); Alzheimer's Disease Assessment Scale-cognitive subscale (ADAS-cog); Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL); Changes in creatinine kinase (CK) level from baseline; Change in thyroid-stimulating hormone (TSH) level from baseline; Unified Parkinson's Disease Rating Scale (UPDRS); Volumetric Magnetic resonance Imaging (MRI) and resting state functional magnetic resonance imaging (rest-fMRI); Neuropsychiatric Inventory (NPI); Montreal Cognitive Assessment (MoCA); Changes in serum omic profile from baseline; Microbiota analysis; Monitoring of adverse events; Change in heart rate from baseline; Change in blood pressure from baseline; Change in waist and hip circumference from baseline; Change in body weight from baseline; Change of complete blood count from baseline; Changes in liver function tests (alkaline phosphatase (ALP), alanine aminotransferase (ALT), Aspartate aminotransferase (AST), gamma-glutamyl transferase (GGT), total and direct Bilirubin, Albumin) from baseline; Changes in blood lipid levels (total cholesterol (TC), triglyceride (TG), low density lipoprotein (LDL-C), high density lipoprotein (HDL-C)) from baseline; Changes in kidney function tests (creatinine, urea, urate, sodium, potassium) from baseline; Change in blood insulin level from baseline; Change in glycated haemoglobin (HbA1c) level from baseline; Changes in blood glucose levels from baseline",,2019,2020; Recruiting,,,
Deferiprone 600mg delayed release tablets,NCT03234686,P2,"AD, MCI",171,12 m,"Efficacy of Deferiprone; Incidence of Treatment-Emergent Adverse Events (Safety and Tolerability); Brain Iron Levels; The effect of Deferiprone on the episodic memory, executive function and attention composites; The Association with Iron levels in the Brain and Cognitive Decline; The Potential for Brain Iron Load to be Used to Stratify Responsiveness to Deferiprone; The Potential for APOE Genotype to be Used to Stratify Responsiveness to Deferiprone",,2017,2020; Recruiting,,,
Flutemetamol (Vizamyl),NCT02353949,P3,"MCI, AD",11,Six Months after initiation of standard treatment,Comparisons of change from pre-treatment assessment of ADCS-CGIC after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status; Change from pre-treatment assessment on the decision regret scale after three months; Change from pre-treatment assessment on the decision regret scale after six months; Change of ADAS-cog 11 score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Change of ADCS-ADL score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Change of ADCS-CGIC score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Change of MMSE score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Comparisons of change from pre-treatment assessment of ADAS-Cog-11 after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status; Comparisons of change from pre-treatment assessment of ADCS-ADL after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status; Comparisons of change from pre-treatment assessment of MMSE after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status,,2015,2020; Terminated,,,biomarker
NBMI,NCT04184063,P2,"PSP, MSA",16,"Day 56, 57","Pharmacokinetic parameters derived from plasma concentrations of NBMI: AUC0-∞; Pharmacokinetic parameters derived from plasma concentrations of NBMI: AUC%Extrap,obs; Changes in Non-Motor Symptoms assessment scale (NMSS) individual scale from baseline in MSA patients compared to placebo treatment; Changes in Progressive Supranuclear Palsy rating Scale (PSPRS) individual scales scores from baseline in PSP patients compared to placebo treatment; Changes in FAB individual scales scores from baseline in PSP patients compared to placebo treatment; Pharmacokinetic parameters derived from plasma concentrations of NBMI: t1/2; Pharmacokinetic parameters derived from plasma concentrations of NBMI: λz; Changes in Unified Multiple System Atrophy Rating Scale (UMSARS) individual scale from baseline in MSA patients compared to placebo treatment; Changes in QOL individual scores from baseline by MSA questionnaire in MSA patients; Changes in QOL individual scores from baseline by MSA questionnaire in MSA patients using Visual Analog score; Changes in QOL individual scores from baseline by EQ-5D score in PSP patients compared to placebo treatment; Changes in Parkinson's Disease Fatigue Score (PFS) score from Baseline - V1 to V2 (D29) and V1 to V5 (D57) in PSP and MSA patients compared to placebo treatment; Changes in Beck's Depression Inventory (BDI) scale (MSA patients) score from Baseline V1 to V2 (D29) and to V4 (D57) compared to placebo treatment; Changes in Geriatric depression scale (GDS) (PSP patients) score from Baseline - V1 to V2 (D29) and to V4 (D57) compared to placebo treatment; Frequency, type and severity of adverse events compared to placebo treatment .; Percentage of NBMI-treated patients who develop a response to NBMI.; Changes from baseline in brain metabolism as evaluated with Fluorodeoxyglucose Positron Emission Tomography (FDG PET) CT brain imaging compared to placebo treatment; Changes from baseline in brain iron levels as detected with Magnetic Resonance Imaging (MRI) imaging methods compared to placebo treatment; Pharmacokinetic parameters derived from plasma concentrations of NBMI: Maximum Plasma Concentration [Cmax]; Pharmacokinetic parameters derived from plasma concentrations of NBMI: AUC0-t; Pharmacokinetic parameters derived from plasma concentrations of NBMI: T max",,2019,2019; Recruiting,,,
Droxidopa,NCT03446807,P2,"MSA, PD, PSP",32,Week 29,Efficacy of Droxidopa on fatigue in subjects with Parkinsonism as determined by completion of Visual Analogue Fatigue Scale (VAFS); Efficacy of Droxidopa on motor and non-motor symptoms of Parkinsonism as determined by the Unified Parkinson's Disease Rating Scale (UPDRS),,2018,2019; Not yet recruiting,,,
Neuraceq,NCT04055532,,"DLB, PD, AD, ALS, FTDLD, MCI",0,2-5 Years,Performance on Batteries of Cognitive Tests,,2019,2019; Withdrawn,,,biomarker
11C-PBR28,NCT02702102,P2,"PD, DLB",5,1 year,Absolute 11C-PBR28 binding (total distribution volume corrected for free fraction in plasma); Relative 11C-PBR28 binding,,2016,2019; Completed,,,biomarker
Allopregnanolone injection (intravenous solution),NCT02221622,P1,"AD, MCI",24,Baseline and Week 13,Safety profile: Adverse events; Safety profile: Clinical laboratory measurements; Safety profile: ARIA; Safety profile: Physical and neurological examination; Tolerability - Maximum tolerated dose (MTD); Pharmacokinetic profile after single and multiple doses: Maximum Concentration (Cmax); Pharmacokinetic profile after single and multiple doses: time attain to Cmax (Tmax); Pharmacokinetic profile after single and multiple doses: Area under the curve (AUC); Pharmacokinetic profile after single and multiple doses: Drug Clearance (CL); Pharmacokinetic profile after single and multiple doses: apparent volume of distribution at steady state (Vss); Cognitive tests (ADAS-Cog; MMSE/MoCA; ADCS-CGIC; CogState); Brain MRI volumetrics,,2014,2019; Completed,,,
VX-745,NCT02423122,P2,"MCI, AD",16,Day 84,Number of 11C-PiB Responders; Percent Change From Baseline in Amyloid Plaque Burden by 11C-PiB PET; Wechsler Memory Scale (WMS) Delayed Recall Composite; Wechsler Memory Scale (WMS) Immediate Recall Composite,,2015,2019; Completed,,,
"Verubecestat 12 mg (Parts 1 and 2), Verubecestat 40 mg (Parts 1 and 2)",NCT01953601,P3,"AD, MCI",1454,Baseline and Week 104 in Part 1,Part 1 (Base Study). Mean Percent Change From Baseline in Cerebrospinal Fluid (CSF) Total Tau Concentration at Week 104; Part 1 (Base Study). Least Squares Mean Change From Baseline in Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (Mild Cognitive Impairment Version) (ADCS-ADL MCI) Score at Week 104; Part 1 (Base Study). Least Squares Mean Change From Baseline in Composite Cortical Amyloid Standard Uptake Value Ratio (SUVR) Assessed With Amyloid Tracer [18F]Flutemetamol Using Positron Emission Tomography (PET) Imaging at Week 104; Part 1 (Base Study). Least Squares Mean Percent Change From Baseline in Total Hippocampal Volume (THV) at Week 104; Part 1 (Base Study). Least Squares Mean Change From Baseline in the 3-Domain Composite Cognition Score (CCS-3D) at Week 104; Part 1 (Base Study). Estimated Least Squares Mean Difference Between the Last (Week 104) and First (Week 13) Post-dose CDR-SB Assessment; Part 1 (Base Study). Event-Rate Per 100 Participant Years for Progression to a Clinical Diagnosis of Probable AD Dementia; Part 2 (Extension Study). Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event (AE); Part 2 (Extension Study). Percentage of Participants Who Experienced ≥1 Adverse Event (AE); Part 1 (Base Study). Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event (AE); Part 1 (Base Study). Percentage of Participants Who Experienced ≥1 Adverse Event (AE); Part 2 (Extension Study). Mean Change From Baseline in Clinical Dementia Rating Sum of Boxes (CDR-SB) Score at Week 130; Part 1 (Base Study). Least Squares Mean (LSM) Change From Baseline in Clinical Dementia Rating Sum of Boxes (CDR-SB) Score at Week 104,,2013,2019; Terminated,,,
"MK-4334, Donepepzil",NCT03740178,P1,"MCI, AD",12,"Day 14: Pre-dose and 0.5, 1, 2, 3, 4, 6, 8, 12, 24, 48, 120, 240, 360, and 480 hours after MK-4334 administration",Number of Participants Experiencing an Adverse Event (AE); Number of Participants Discontinuing Study Treatment due to an Adverse Event; Plasma Steady State Concentration at 24 Hours (C24) of MK-4334; Plasma Steady State Area Under the Concentration-Time Curve from 0 to 24 hours (AUC0-24) of MK-4334; Plasma Steady State Maximum Concentration (Cmax) of MK-4334; Plasma Steady State Apparent Half-Life (t1/2) of MK-4334; Plasma Steady State Time to Maximum Concentration (Tmax) of MK-4334; Plasma Steady State Apparent Clearance (CL/F) of MK-4334; Plasma Steady State Apparent Volume of Distribution (Vz/F) of MK-4334,,2018,2019; Not yet recruiting,,,
"Amyvid PET Scan, T807 PET scan",NCT02266563,,"MCI, CTE",46,2 years,Uptake of [18F]T807 in the brain; Uptake of [18F]AV-45 in the brain; Neuropsychological data composite score,,2014,2019; Completed,,,biomarker
"davunetide (AL-108, NAP)",NCT01056965,P1,"PSP, CBD, FTDLD",12,12 w,"Safety evaluations will be performed by recording clinical adverse events at each study visit. Clinical laboratory, ECGs, physical examinations will be conducted.; PSP Rating Scale; Clinician's Global Impression (CGI-ds); Schwab and England Activities of Daily Living scale (SEADL); MRI brain ventricular volume; Repeatable Battery for the Assessment of Neuropsychological Status (RBANS); Unified Parkinson's Disease Rating Scale (UPDRS); Neuropsychiatric Inventory (NPI); Geriatric Depression Scale (GDS); CSF biomarkers will assess total tau, phosphorylated tau, and amyloid beta peptide (1-42); Saccadic Eye movements - vertical and horizontal total saccade time; Clinical Dementia Rating (CDR); Functional Activities Questionnaire (FAQ)",,2010,2019; Completed,,,
[123I]CLINDE,NCT00612872,P1,"AD, PD",46,6 mos,"To assess the dynamic uptake and washout of 123-I CLINDE, using single photon emission computed tomography (SPECT) in similarly aged healthy controls and subjects with Alzheimer (AD) or Parkinson disease (PD).",,2008,2019; Terminated,,,biomarker
Nelotanserin,NCT02871427,P2,"PD, DLB",80,24 w,"Long-term safety and tolerability will be evaluated based on incidence of adverse events (AEs) and significant changes in physical examinations, vital signs, ECGs, and clinical laboratory assessments over time during treatment.; Long-term effectiveness will be evaluated based on change in the frequency and severity of visual hallucinations (as recorded by patient's caregiver) and/or REM sleep behaviors (based on a clinical evaluator) over time during treatment.",,2016,2019; Terminated,,,
Intranasal Insulin,NCT02064166,P2,"PD, MSA",15,Baseline and post-treatment,"Modified Hoehn and Yahr Scale; Beck Depression Inventory Score (BDI); Cognitive Impairment Using Montreal Cognitive Assessment (MoCA); Brief Visuospatial Memory Test-Revised (BVMT-R); Gait Analysis (4-meter Test); Unified Parkinson's Disease Rating Scale Part III (UPDRS Part III); Change in Verbal Fluency FAS (F, A or S Words) Total Score",,2014,2018; Completed,,,
Dabigatran,NCT03752294,P1,"AD, MCI",40,24-m,Evaluate dabigatran efficacy in MCI and mild AD population using changes in targeted plasma and CSF biomarker levels at 9 and 21 months; Demonstrate a reduction in decline of cognitive function related to physical functioning in placebo arm after crossing over to 12-months of active treatment; Changes in cognitive performance in placebo arm after cross-over to open-label treatment phase; Safety and tolerability of dabigatran in experimental population (MCI and mild AD populations) based on reported serious and adverse events; Evaluation of cognitive performance in placebo arm after cross-over to open-label treatment phase,,2018,2018; Not yet recruiting,,,
"Warfarin, Dimebon",NCT00827034,P1,"HD, AD",14,7+18 d,"Single dose pharmacokinetics (Cmax, AUCinf) of warfarin 25 mg with and without co-administration of steady-state Dimebon 20 mg TID in healthy adult subjects.; Single dose pharmacodynamics (INRmax, AUC-INR) of warfarin 25 mg with and without co-administration of steady-state Dimebon 20 mg TID in healthy adult subjects.; Safety and tolerability ( adverse event monitoring, physical examinations, vital signs, ECG's and clinical laboratory tests) of multiple doses of Dimebon 20 mg TID with a single dose of warfarin 25 mg in healthy adult subjects.",,2009,2018; Completed,,,
MK-8931,NCT02910739,P1,"AD, MCI",16,Up to 14 d following MK-8931 40 mg administration.,Number of Participants Discontinuing Study Due to an Adverse Event; Number of Participants Experiencing an Adverse Event; Apparent Volume of Distribution of MK-8931 During the Terminal Phase After Extravascular Administration (Vz/F); Apparent Terminal Half-Life of MK-8931 (t1/2); Time to Maximum Observed MK-8931 Plasma Drug Concentration (Tmax); Apparent Clearance of MK-8931 After Extravascular Administration (CL/F); Plasma Concentration of MK-8931 at 24 Hours (C24hr); Area Under the Concentration Versus Time Curve of MK-8931 From 0 to 24 Hours (AUC0-24hr); Area Under the Concentration Versus Time Curve of MK-8931 From 0 to the Time of the Last Quantifiable (Above LLOQ) Sample (AUC0-last); Maximum Observed Plasma Concentration of MK-8931 (Cmax); Area Under the Concentration Versus Time Curve of MK-8931 From 0 to Infinity (AUC0-∞),,2016,2018; Completed,,,
EEG scan,NCT03644043,,"MCI, AD",2000,10 d,Patient meeting Appropriate Use Criteria (AUC) with EEG brain scan - P300 and P50 will be measured for correlation between P300 and P50 with amyloid deposition.,,2018,2018; Unknown status,,,biomarker
Exendin-4 SC,NCT01255163,P2,"MCI, AD",57,18 m,Number of Participants With Incidence of Nausea; Body Mass Index (BMI); Cerebrospinal Fluid Amyloid-beta 42 (CSF Abeta42); Cerebrospinal Fluid phospho181-tau (CSF p181-tau); Cerebrospinal Fluid (CSF) Total Tau; Clinical Dementia Rating (CDR) Sum of Boxes; Clinical Dementia Rating (CDR) Global Score; Alzheimer's Disease Assessment Scale-cognitive Subscale (ADAS-cog70); Mini Mental State Examination (MMSE),,2010,2018; Terminated,,,
"Neurocognitive battery, MRI, Blood tests, EEG with event-related potential (ERP), Amyloid PET CT",NCT03275363,,"MCI, AD",500,1 year,Cognitive decline; Functional decline; Neuropsychiatric decline; Quality of life decline; Change in cognitive impairment status,,2017,2017; Recruiting,,,delete
Exelon Patch (rivastigmine transdermal system),NCT01519271,P4,"MCI, PD",28,The MoCA was administered in the beginning and end of each study phase.,Montreal Cognitive Assessment (MoCA); Alzheimer's Disease Cooperative Study- Clinical Global Impression Change (ADCS-CGIC),,2012,2017; Completed,,,
"transcranial magnetic stimulation, MRI imaging, EEG recording, Neuropsychological examination",NCT02236832,N/A,"FTDLD, PSP",225,day of inclusion (one day),Performance in the implicat task; Performance in the Similitude task; recording of EEG; Analysis of MRI,,2014,2017; Recruiting,,,device
AZD5213,NCT01548287,P2,"AD, MCI",164,Baseline and Week 4.,"Change From Baseline in Sleep Efficiency After 4 Weeks of Treatment, Based on Actigraphy Recording.; Change From Baseline in Latency of Persistent Sleep After 4 Weeks of Treatment, Based on Actigraphy Recording.; Change From Baseline in Night Total Sleep Time After 4 Weeks of Treatment, Based on Actigraphy Recording.; Change From Baseline in Latency to Persistent Sleep After 4 Weeks of Treatment, Based on PSG Measurements.; Change From Baseline in Sleep Efficiency After 4 Weeks of Treatment, Based on PSG Measurements.; Change From Baseline in Total Sleep Time (TST) After 4 Weeks of Treatment, Based on PSG Measurement.",,2012,2017; Completed,,,
Incobotulinum Toxin A,NCT01565395,P2,"PD, ALS",0,7 m,Change in objectively measured salivary volume between baseline and one month post-injection in the Xeomin group as compared to placebo,,2012,2017; Withdrawn,,,
[123I]MNI-420,NCT00970229,P1,"HD, PD",19,1 year,"To evaluate [123I]MNI-420 as a quantitative imaging outcome measure of A2aR activity in PD, HD, and healthy subjects",,2009,2017; Completed,,,bimarker
SRT,NCT02814201,,"PD, HD",55,Day 0,SRT,,2016,2016; Completed,,,
"Lombar Punction, Magnetic Resonance Imaging (MRI), Positron-Emission Tomography (TEP) /(FDG), Psychiatric tests, Neuropsychological Tests, Apolipoprotein (ApoE) detection",NCT02843906,N/A,"MCI, AD",180,40 minutes,Functionnal/Cognitive evaluation; Psychatric evaluation; Brain MRI,,2016,2016; Unknown status,,,delete
AVP-923,NCT00056524,P3,"AD, PD",600,,emotional control,,2003,2016; Completed,,,
ABT-957,NCT02573740,P1,"MCI, AD",8,84 d,Percentage of participants reporting treatment-emergent adverse events; Level of spectrin breakdown product-145 (SBDP-145),,2015,2016; Terminated,,,
AQW051,NCT00582855,P2,"AD, MCI",54,Throughout the study,"Validated computerized cognitive assessment scores; Validated computerized cognitive assessment scores, the different scores from the Alzheimer's Disease Assessment Score-cognitive subscale (ADAS-Cog), Quality of Life-Alzheimer disease scale and the Disability Assessment for Dementia scale",,2007,2016; Terminated,,,
"active Deep TMS, sham Deep TMS",NCT02734485,N/A,"PD, PSP",20,"evaluation time (pre-stimulation: T0 for first period, T2 for second period; post-stimulation (after four w of treatment): T1 for first period, T3 for second period",Change in PSP rating scale total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in MoCA total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in PDQ 39 total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in NMS total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3); Change in Hamilton rating scale for depression total score between baseline evaluations (T0 orT2) and end of treatment (T1 or T3),,2016,2016; Completed,,,device
"neuropsychologic assessment, [18F]AV-45 PET, 18-FDG PET, MRI",NCT01325259,P2,"AD, MCI",54,inclusion,Standard Uptake Value Ratios (SUVr),,2011,2016; Completed,,,bimarker
[F18]-FDDNP,NCT02214862,Early P1,"PD, PSP",40,18 m,"To assess the Relative Volume of Distribution of [18F]-FDDNP in individuals with unclassifiable parkinsonism, and to try to correlate their eventual clinical diagnosis with baseline PET findings.; to assess the uptake of [18F]-FDDNP in cases clinically defined of progressive supranuclear palsy and multi-system atrophy; To assess the ability to detect in vivo underlying tau pathology in unclassifiable parkinsonism by means of PET -[18F]-FDDNP.",,2014,2016; Completed,,,bimarker
Memantine,NCT00630500,P2,"PD, DLB",75,Month 3 and 6,"Cognitive Drug Research test; Neuropsychiatric Inventory; Unified Parkinson's Disease Rating Scale, part III; Epworth Sleep Scale; Stavanger Sleep Scale; Clinical Global Impression of Change; MMSE; Alzheimer's QUick Test",,2008,2015; Completed,,,
Lithium,NCT00703677,P1/P2,"CBD, PSP",17,28 w,Frontal Assessment Battery (FAB): Change From Baseline; Unified Parkinson Disease Rating Scale (UPDRS) Motor Subscale Score: Change From Baseline; PSP-Quality of Life Scale (QoL):Change From Baseline; Geriatric Depression Scale(GDS)-15:Change From Baseline; PSP Rating Scale Score: Change From Baseline; Change in Glycogen Synthase Kinase (GSK)-3 Beta Activity; Change in Brain-Derived Neurotrophic Factor (BDNF) in CSF; Changes in Amount of Tau and Phosphorylated Tau in Cerebral Spinal Fluid (CSF); Study Drug Compliance; Ability to Tolerate Lithium Carbonate,,2008,2015; Completed,,,
Posiphen® tartrate capsules,NCT01072812,P1,"AD, MCI",5,10 d,Pharmacokinetics; Pharmacodynamics; Biomarkers; Safety,,2010,2015; Terminated,,,
"es-citalopram, Memantine",NCT01876823,P2/P3,"AD, MCI",60,"Baseline, Week 48",Conversion to Dementia Using Clinical Dementia Rating (CDR); Change in Clinical Global Impression - Cognitive Change; Change in Clinical Global Impression - Depression Change; Change in Treatment Emergent Side Effects (TESS); Change in 24-item HAMD; Change in Trails A; Change in Trails B; Change in Selective Reminding Test - Delayed Recall (SRT-DR); Change in Wechsler Memory Scale-III (WMS-III); Change in Selective Reminding Test - Total Immediate Recall (SRT-IR),,2013,2014; Completed,,,
"florbetapir 18F, 18F-FDG",NCT01890343,P2,"FTDLD, AD",34,50-60 minutes after injection,Quantitative Amyloid Image Assessment; Qualitative Amyloid Image Assessment,,2013,2014; Completed,,,biomarker
Minocycline,NCT01463384,P2,"AD, MCI",13,"Baseline values, 1-3 Months Values (averaged), 4-6 Months Values (averaged)","Hippocampal Volumes Measured in Three Groups: Alzheimer Disease (AD), Mild Cognitive Impairment (MCI) and Normal, Age-matched Controls (NC).; Biomarker NAA/mI Measured in Three Groups: Alzheimer Disease (AD), Mild Cognitive Impairment (MCI) and Normal, Age-matched Controls (NC); Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)",,2011,2014; Completed,,,
"Droxidopa, Carbidopa, Entacapone",NCT00547911,P1/P2,"MSA, PD",14,Up to 24 hours after receiving drug(s),"Heart Rate After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Diastolic Blood Pressures After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Systolic Blood Pressures After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma DHPG Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma DHMA Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma Norepinephrine Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma LDOPS Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone",,2007,2014; Terminated,,,
testosterone gel,NCT00539305,P3,"AD, MCI",22,"Baseline, Month 3, Month 6",Short-Form Health Survey (SF-36); Geriatric Depression Scale (GDS); Cognitive Changes Measured by Neuropsychological Tests: Rey Auditory Verbal Learning Test; Behavioral & Mood Measure: Profile of Mood States (POMS),,2007,2014; Completed,,,
Insulin LISPRO,NCT01636596,N/A,"AD, MCI",0,30 w,cerebral glucose metabolism; cognition; general clinical improvement; basal metabolism,,2012,2014; Withdrawn,,,
EVP-0962,NCT01661673,P2,"AD, MCI",52,0-36 hours post dose,"The number of adverse experiences reported by subjects and/or observed by investigator and repeated clinical evaluations of physical examinations, vital signs, 12-lead ECG (electrocardiogram), and lab tests (hematology, chemistry, urinalysis); To measure the rate of synthesis of Amyloid Beta in cerebral spinal fluid of healthy subjects; To measure the concentration of Amyloid Beta in cerebral spinal fluid; To measure the rate of synthesis of Amyloid Beta and steady-state levels in the cerebral spinal fluid in MCI or early Alzheimer's disease patients; To determine single-and repeat-dose EVP-0962 pharmacokinetics in cerebral spinal fluid and plasma",,2012,2014; Completed,,,
Memantine,NCT00855686,P4,"DLB, PD",199,,No primary or secondary outcome measures are defined. This study is exploratory (see above under detailed description).,,2009,2013; Completed,,,
"Placebo, DAOI-B",NCT01600469,P2,"AD, MCI",86,"Week 0, 24","Change from baseline in Alzheimer's disease assessment scale-cognitive subscale in week 8, 16 and 24; Change from baseline in Mini Mental Status Examination at week 8, 16 and 24; Change from baseline in Instrumental Activities of Daily Living at week 8, 16 and 24; Change from baseline in Verbal learning and memory at week 24; Change from baseline in Digit Span subtest of the Wechsler Memory Scale at week 24",,2012,2013; Completed,,,
CerefolinNAC®,NCT01370954,,"AD, MCI",204,"Baseline, Week 6 and Week 12",To determine overall patient satisfaction with CerefolinNAC® using a 9-point satisfaction scale; To determine if CerefolinNAC® affects a subject's quality of life as measured by the Quality of Life-Alzheimer's Disease Scale (QOL-AD),,2011,2013; Completed,,,
"dimebon, alprazolam",NCT00975481,P1,"HD, AD",36,"0 (pre-dose), 0.5, 1, 2, 3, 4, 6, 8, 12, 24 hours post-dose",Other Subjective Effects- Addiction Research Center Inventory (ARCI) Benzedrine Group (BG): Maximum Effect (Emax) and Minimum Effect (Emin); Other Subjective Effects- Drug Similarity; Other Subjective Effects- Any Drug Effects: Peak Effect (Maximum Effect [Emax]); Sedative Effects- Alertness/Drowsiness: Minimum Effect (Emin); Sedative Effects- Addiction Research Center Inventory (ARCI) Pentobarbital Chlorpromazine Group (PCAG): Maximum Effect (Emax); Negative Effects- Addiction Research Center Inventory (ARCI) Lysergic Acid Diethylamide (LSD): Maximum Effect (Emax); Negative Effects- Bad Drug Effects: Peak Effect (Maximum Effect [Emax]); Positive Effects- High VAS: Peak Effect (Maximum Effect [Emax]); Positive Effects- Good Drug Effects: Peak Effect (Maximum Effect [Emax]); Positive Effects- Addiction Research Center Inventory (ARCI) Morphine Benzedrine Group (MBG): Maximum Effect (Emax); Balance of Effects- Subjective Drug Value (SDV): Maximum Effect (Emax); Balance of Effects- Good and Bad Effects VAS: Peak Effect (Maximum Effect [Emax]) and Minimum Effect (Emin); Balance of Effects- Take Drug Again VAS: Peak Effect (Maximum Effect [Emax]); Balance of Effects- Overall Drug Liking VAS: Peak Effect (Maximum Effect [Emax]) and Minimum Effect (Emin); Balance of Effects- Drug Liking VAS: Peak Effect (Maximum Effect [Emax]) and Minimum Effect (Emin),,2009,2013; Completed,,,
"Placebo Comparator, insulin detemir",NCT01547169,P2,"AD, MCI",60,Change from Baseline in Visual Working Memory at 3 Weeks,Verbal Memory Composite; Neuropsychological Test of Executive Function 1; Glucose Tolerance; Functional Ability; Plasma biomarkers of AD; Neuropsychological Test of Executive Functioning 2; Neuropsychological Tests of Visual Working Memory,,2012,2012; Completed,,,
Ramelteon,NCT00907595,N/A,"HD, DLB, PD",0,2 w pre intervention; 4 w of the intervention; 2 w after intervention,"Sleep efficiency and other actigraphy derived sleep parameters; UHDRS, UPDRS, cognitive measures, mood symptoms, aggression measures, functional ability.",,2009,2012; Withdrawn,,,
Regular Insulin,NCT00438568,P2,"AD, MCI",173,"every 8 w for 16 w, again at 8 w post-treatment (24 w)",Changes in cognition; glucose metabolism; plasma biological markers; CSF biological markers; cerebral glucose metabolism,,2007,2012; Completed,,,
HPP854,NCT01482013,P1,"MCI, AD",7,Day -6 to Day 35,Number of Participant Adverse Events; Evaluation of participant plasma HPP854 concentrations; Change in cerebrospinal fluid concentration of Amyloid-Beta,,2011,2012; Terminated,,,
"Supressi. T-Diet plus Range, High Protein. T-Diet plus Range",NCT01192529,N/A,"PD, AD",184,8 m,Nutritional and cognitive status in elderly people; Biochemical parameters measure,,2010,2012; Unknown status,,,suppl
Dimebon,NCT00825084,P1,"HD, AD",45,72 hours post last dose,"plasma drug concentrations; Safety will be including physical/neurological examination findings, clinical safety laboratory assessments, 12-lead ECGs, vital sign measurements and adverse event monitoring",,2009,2011; Completed,,,
