Table 9.  All Intervention Matches in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
transcranial magnetic stimulation,NCT03273270,N/A,PD,20,pre and post intervention (within one week of completion),Change in Dual Task Time to Turn Off; Change in New Freezing of Gait Questionnaire; Change in Functional Connectivity to the Supplementary Motor Area.,,2017,2021; Completed,,,device,
,NCT03714854,N/A,PD,15,60 minutes,Corticospinal excitability; Cortical excitability; Cortico-subcortical connectivity; Correlation between behavioral and neural responses,,2018,2021; Recruiting,,,,
,NCT03612622,N/A,AD,47,"baseline, 2 w and 8 w after treatment",Associative Memory; The changes in MMSE(Mini Mental State Examination); LMT (Logic Memory Test); DST (Digital Span Test; Forward and Backward); TMT (Trail Making Test); HAMD (Hamilton Depression Scale); HAMA (Hamilton Anxiety Scale); NPI (Neuropsychiatric Inventory); MRI measures; 2-BACK(special-version); changes in Montreal Cognitive Assessment (MoCA); GDS(Geriatric depression scale); JLOT(Judgment of line Judgment of line orientation test orientation test); HVOT(Hooper visual organization test Hooper visual organization test); The Stroop color test,,2018,2021; Completed,,,,
,NCT02969941,N/A,PD,46,"changes from baseline at 1, 4, 6, and 10 w post-treatment",Symptom improvement assessed by Unified Parkinson's Disease Rating Scale III; Timed up and go test; 20m walking test; Non-motor symptoms questionnaire; Unified Parkinson's Disease Rating Scale III,,2016,2019; Completed,,,,
,NCT02236832,N/A,"FTDLD, PSP",225,day of inclusion (one day),Performance in the implicat task; Performance in the Similitude task; recording of EEG; Analysis of MRI,,2014,2017; Recruiting,,,,
Niacinamide,NCT03061474,P2,"MCI, AD",48,12 Months,Change in p-tau 231; Change in p-tau 181; Change in total tau,,2017,2021; Recruiting,,,drug,
,NCT03808961,N/A,PD,100,"Baseline, and 18 m",Unified Parkinson's Disease Rating Scale (UPDRS) change; Mini-Mental State Examination (MMSE) change; Stroop test change; Sleep test change; Macrophage and cytokine changes; Niacin changes; Cerebrospinal Fluid (CSF) changes,,2019,2020; Recruiting,,,,
DNL747,NCT03757351,P1,ALS,15,Randomization - Day 86,Pharmacokinetic measure of CSF concentrations of DNL747; Pharmacodynamic measure of pS166 in PBMCs; Number of Subjects with Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs); Number of Subjects with clinically significant neurological examination abnormalities; Number of Subjects with laboratory test abnormalities; Pharmacokinetic measure of maximum observed plasma concentration (Cmax) of DNL747; Pharmacokinetic measure of time to reach maximum observed plasma concentration (Tmax) of DNL747; Pharmacokinetic measure of area under the plasma drug concentration-time curve (AUC) of DNL747; Pharmacokinetic terminal disposition rate constant (λz) with the respective t1/2 of DNL747,,2018,2021; Terminated,,,drug,
,NCT03757325,P1,AD,16,Randomization - Day 86,Number of Subjects with Treatment-Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs); Number of Subjects with clinically significant neurological examination abnormalities; Number of Subjects with laboratory test abnormalities; Pharmacokinetic measure of maximum observed plasma concentration (Cmax) of DNL747; Pharmacokinetic measure of time to reach maximum observed plasma concentration (Tmax) of DNL747; Pharmacokinetic measure of area under the plasma drug concentration-time curve (AUC) of DNL747; Pharmacokinetic terminal disposition rate constant (λz) with the respective t1/2 of DNL747; Pharmacokinetic measure of CSF concentrations of DNL747; Pharmacodynamic measure of pS166 in PBMCs,,2018,2020; Completed,,,,
Vehicle,NCT04154072,P2,PD,240,36 w,Change in Unified Parkinson's Disease Rating Scale in combined score of Parts II and III from baseline to 36 weeks,,2019,2021; Recruiting,,,drug,
,NCT04052737,P2,AD,80,160 d,Incidence of PMZ-1620 related adverse events; Number of patients not receiving full treatment due to intolerance to PMZ-1620; Changes in clinical progression of AD as measured by Mini-Mental State Examination (MMSE); Changes in neuropsychiatric inventory (NPI) Score; Changes in Alzheimer's disease Assessment Scale-Cognitive Subscale (ADAS-Cog); Changes in hippocampal atrophy using MRI/CT; Changes in electroencephalograms (EEGs),,2019,2020; Recruiting,,,drug,
HB-adMSCs,NCT04064983,,PD,,,,,2019,2021; No longer available,,,stem,
,NCT04228666,P1/P2,AD,24,"week 0, change from baseline at week 4, 10, 13, 19, 26, 33, 40, 46, and 52","Red blood cell; Glucose; Calcium; Albumin; Total Protein; Sodium; Total carbon dioxide; Potassium; Chloride; BUN; Creatinine; Alkaline phosphatase; Alanine aminotransferase; Aspartate aminotransferase; Total Bilirubin; White blood cell; Hemoglobin; Hematocrit; Mean corpuscular volume; Mean corpuscular hemoglobin; Mean corpuscular hemoglobin concentration; Red cell distribution width; Neutrophils; Lymphs; Monocytes; Eos; Basophils; Absolute neutrophils; Absolute lymphs; Absolute monocytes; Absolute Eos; Absolute Basos; Immature granulocytes; Absolute Immature granulocytes; Platelets; Prothrombin time; INR; Tumor necrosis factor-alpha; Interleukin-1; Interleukin-6; C-reactive protein; Amyloid beta 40; Amyloid beta 42; Volumetric changes in hippocampus, ventriculus, and whole brain; Mini Mental Status Exam; Alzheimer's disease Cooperative Study Activities of Daily Living; Quality of Life Enjoyment and Satisfaction Questionnaire; Altoida Neuro Motor Index; Clinical Dementia Rating Questionnaire",,2020,"2021; Active, not recruiting",,,,
,NCT04514952,,ALS,,,,,2020,2021; No longer available,,,,
Standard of Care,NCT04812769,N/A,AD,200,6 m,Duration of antibiotic therapy in nursing home residents; Number of antibiotic prescriptions in nursing home residents,,2021,2021; Not yet recruiting,,,delete,behav
,NCT04097080,P1,PD,60,Baseline to Week 24,Unified Parkinson Disease Rating Scale (UPDRS),,2019,2021; Recruiting,,,drug,
,NCT02000583,N/A,AD,117,Baseline to 52 w,Amyloid Burden; Executive Function; Whole Brain Volume,,2013,2020; Completed,,,behav,
,NCT04048122,N/A,PD,60,"Each of the 10 cognitive treatment intervention sessions. These treatment sessions will be 1 to 1.5 hours in length, and be delivered once a week, to be completed within a 12-week time frame.",Change in Bangor Goal Setting Interview (BGSI) Goal Attainment; Client Satisfaction Questionnaire; Pittsburgh Rehab Participation Scale; Treatment Fidelity Scale,,2019,2020; Suspended,,,behav,
,NCT02533921,N/A,PD,210,0 to 6 m,Changes in Caregiver Depression; Changes in Caregiver Anxiety; Changes in Patient Depression; Changes in Patient Anxiety; Changes in Caregiver Distress; Changes in the Subjects Quality of Life (QOL),,2015,2020; Completed,,,behav,
,NCT02874274,N/A,PD,164,30 Minutes,Unified Parkinson's Disease Rating Scale (UPDRS); Hoehn and Yahr Scale (HY); Parkinson's Disease Questionnaire- Short Form (PDQ-8,,2016,2020; Completed,,,behav,
,NCT02177149,N/A,PD,0,6 m,Measure the effectiveness of DBS decision support system in an established clinic.,,2014,2015; Withdrawn,,,device,
Posiphen,NCT04524351,P1/P2,"PD, AD",68,Baseline to 25±2 d,Incidence of Treatment-Emergent Adverse Events; Concentration of Posiphen in Plasma; Changes in Functional Impairment; Changes in Cognition,,2020,2021; Recruiting,,,drug,
,NCT02925650,P1/P2,AD,24,up to 25 d,Safety and Tolerability: Reports of adverse events or study discontinuations; AUC of Posiphen and its metabolites in plasma and CSF; Fractional synthesis rate of Aβ40 in CSF using the SILK™ technique; Concentration of soluble biomarkers of Alzheimer's disease in CSF; Assessment of cognitive assessments; Assessment of mental status effects; Assessment of neuropsychiatric effects,,2016,2020; Recruiting,,,,
ANX005,NCT04569435,P2,ALS,24,CSF samples collected predose and Week 12,Safety: Number of Participants Who Experienced Treatment-Emergent Adverse Events; Pharmacokinetic: AUC(0-t); Pharmacokinetic: AUC(0-inf); Pharmacokinetic: Cmax; Pharmacodynamic: C1q inhibition in CSF,,2020,2021; Recruiting,,,drug,
,NCT04514367,P2,HD,24,Up to Week 36,Incidence of treatment emergent adverse events (Safety and Tolerability) of ANX005; Pharmacokinetics (PK) of ANX005; Pharmacodynamics (PD) effects of ANX005,,2020,2021; Recruiting,,,,
MRI,NCT02752750,,AD,50,2 years,Quantitative magnetic susceptibility (QSM) in the human brain,,2016,2021; Enrolling by invitation,,,delete,biom
,NCT02789020,P2,PD,96,Changes from baseline to 1 year,"Change in free-water accumulation in the substantia nigra; Change in blood oxygen level-dependent(BOLD) signal in the posterior putamen, M1, and supplementary motor area(SMA).; Changes in PD motor symptoms and bradykinesia; Changes between the groups on MRI for free-water in the substantia nigra; Changes between the groups on fMRI",,2016,"2021; Active, not recruiting",,,,
,NCT04690998,N/A,ALS,100,Change from Baseline at 24 m,Clinical examination; VAS; Fatigue Severity Scale (FSS); Muscle strength; Timed test; Pulmonary function test; Quality of Life of patients; Blood samples; MRI,,2020,2020; Not yet recruiting,,,,
,NCT02405182,,ALS,145,30 m,Change in neuronal and white matter integrity measures.; Correlation of neuronal and white matter integrity measures with clinical indices.,,2015,2020; Completed,,,,
,NCT04653688,N/A,PD,150,at baseline at 48 w,"PKG changes at 48 weeks versus baseline; Changes of 95th percentile of home gait velocity (assessed during 10 days with FeetMe® Insoles) at 48 weeks versus baseline in Parkinsonian syndrome patient subgroups and in a control group.; Changes of 95th percentile of home gait velocity (assessed during 10 days with FeetMe® Insoles) at 12 weeks (MSA subgroup only) and 24 weeks versus baseline in Parkinsonian syndrome patient subgroups; Changes of 95th percentile of home gait cadence, stride length, stride, stance and swing durations (assessed during 10 days with FeetMe® Insoles) at 12 weeks (MSA subgroup only), 24 and 48 weeks versus baseline; Changes of UMSARS I-II versus baseline in MSA subgroup; Changes of MSA-QoL versus baseline in MSA subgroup; Changes of OHQ versus baseline in MSA subgroup; Changes of OHSA versus baseline in MSA subgroup; Changes of BBS versus baseline in MSA subgroup; Changes of Modified SE-ADL versus baseline in MSA subgroup; Changes of PDSS-2 versus baseline in MSA subgroup; Changes of COMPASS31 versus baseline in MSA subgroup; Changes of MOCA versus baseline in MSA subgroup; MRI changes at 24 and 48 weeks versus baseline.; DAT-scan changes at 48 weeks versus baseline.",,2020,2020; Not yet recruiting,,,,
,NCT04212637,N/A,PD,80,1 hour,MRI images; Eye latency; eye amplitude,,2019,2020; Not yet recruiting,,,,
,NCT03860857,P3,AD,200,Years 4 and 5 of the grant,Change in perforant path integrity; Change in tau spatial distribution - advancing Braak stage; Change in Clinical Dementia Rating - Sum of Box Score; Change in lure discrimination index - objects; Change in lure discrimination index - spatial; Change in lure discrimination index - temporal; Change in entorhinal cortical thickness,,2019,2020; Recruiting,,,,
,NCT02134561,N/A,HD,24,"3 m before diagnostic (baseline) ; 2 years after diagnostic,",Change from baseline total score of the psychological Unified Huntington's Disease Rating Scale at 2 years,,2014,2020; Completed,,,,
,NCT02550275,N/A,HD,44,3 m after inclusion,the achievement of social cognition process in Huntington's disease using the total score of the scale 15-TOM,,2015,2020; Completed,,,,
,NCT02759887,N/A,AD,19,"Year 1, Year 2-3",Florbetapir PET - change between timeframes; tau PET - change between timeframes; FDG PET - change between timeframes; MRI - change between timeframes; dried blood spot collection (DBSC) analysis - change between timeframes,,2016,2019; Completed,,,,
,NCT03288909,,PD,18,3 years,Quantitative signal analysis of nigrosome 1; Change in quantitative signal analysis of nigrosome 1,,2017,2019; Recruiting,,,,
,NCT03272230,N/A,"FTDLD, PD",135,At day 1,NART; BREF (FAB english); HAYLING; HAD; Gray matter volume; White matter volume; Cerebral Spinal Fluid volume; Leptin; Adiponectin; Insulin; C-Peptide; FPG; HbA1C; K+; Uric acid; Creatinine; Total Protein; CRP; AST; ALT; GGT; Cholesterol; Triglycerides; EBI; ACDD; Brain lesion localization; IL-6; Pupil Diameter y; ICM_APATHY_TASKS; MMSE; DAS; STARKSTEIN (SAS); MATTIS; MADRS; Occurrence of each behavior from the ethogram; Frequency of each behavior from the ethogram; Duration of each behavior from the ethogram; Number of different behaviors; Activity classes; Body positions; Energy expenditure; MET; Steps; Acceleration intensity; Pupil Diameter x; HDL cholesterol; LDL cholesterol; Glycerol; FFAs; TSH; QUIP; BIS-11; Mini-SEA; STROOP; ECMP; QUIP-RS,,2017,2019; Recruiting,,,,
,NCT02185677,,MSA,40,During 7 d after inclusion,"Behavioral Dysexecutive Syndrome Inventory scores; To compare the subscores of the BDSI between MSA-P patients and MSA-C patients.; To compare the cognitive tests exploring the cognitive dysexecutive syndrome between MSA-P patients and MSA-C patients.; To research correlations between scores UMSARS and cognitive and behavioral scores for MSA-P patients and MSA-C patients.; To compare atrophied brain areas, the anatomic and functional abnormalities of neural networks between MSA-P patients and MSA-C patients.; To research correlations between imaging abnormalities and cognitive test performance in MSA patients.; Actigraphy",,2014,2019; Completed,,,,
,NCT03711825,Early P1,AD,8,"Through study completion, up to 29 d",Gastric retention by imaging assessment by MRI; Gastric retention by imaging assessment by abdominal U/S; Safety and tolerability of a single dose of LYN-057 extended release capsule; Memantine HCl pharmacokinetics - Maximum Plasma Concentration (Cmax); Memantine HCl pharmacokinetics - Time after administration of maximum plasma concentration (Tmax); Memantine HCl pharmacokinetics - Area Under the Curve (AUC); Physical features of recovered formulation components,,2018,2019; Completed,,,,
,NCT03641768,N/A,AD,0,Baseline,Cortical thickness as measured by MRI scans; Beta amyloid plaques as measured by PET scans; Tau proteins as measured by PET scans,,2018,2018; Withdrawn,,,,
,NCT02058732,N/A,ALS,6,5 years,Changes in spinal cord metabolites in treated ALS subjects and nontreated ALS subjects.,,2014,2018; Terminated,,,,
,NCT02000713,N/A,ALS,20,3 years,Study levels of N-acetylaspartate (NAA)in the cervical spinal cord.; Fractional anisotropy in the cervical spinal cord,,2013,2018; Terminated,,,,
,NCT02453763,,"AD, PD",17,Day 1,Magnetic Resonance Imaging (MRI) of therapeutic current flow,,2015,2018; Completed,,,,
,NCT03275363,,"MCI, AD",500,1 year,Cognitive decline; Functional decline; Neuropsychiatric decline; Quality of life decline; Change in cognitive impairment status,,2017,2017; Recruiting,,,,
,NCT02796040,N/A,PD,75,1 day,"Fractional anisotropy (data of diffusion tensor imaging, a technique of MRI); Fractional anisotropy in préfrontal cortex; Volume of ventral tegmental area; Number of fibers between ventral tegmental area and other structures of the reward system",,2016,2016; Unknown status,,,,
,NCT01325259,P2,"AD, MCI",54,inclusion,Standard Uptake Value Ratios (SUVr),,2011,2016; Completed,,,,
,NCT00987090,N/A,AD,240,3 years,"to establish the impact of age on the clinical and neuroimaging picture of sporadic Alzheimer Disease in a multicentric setting.; to describe for each age group, and in particular for the younger patient group, the functional impact of disability in everyday life on both, patients and caregivers.",,2009,2015; Unknown status,,,,
,NCT00757939,P1,AD,40,"1 week, 6 and 12 m","Regional cerebral blood flow, as measured by dASL.; Rate of cerebral glucose consumption, MRglc, as measured by fludeoxyglucose-PET (FDG-PET); Resting state functional MRI blood-oxygen-level-dependent (fMRI BOLD) response",,2008,2015; Completed,,,,
,NCT02319382,N/A,PD,46,Inclusion visit,Accumulation of [18F]DPA-714 in the midbrain assessed through PET,,2014,2015; Unknown status,,,,
,NCT01993628,N/A,AD,80,At inclusion,Score obtained at the Rey figure test with a planning strategy help by LBD patients compared to the score obtained by AD patients.,,2013,2013; Unknown status,,,,
,NCT01876459,N/A,AD,265,Day one.,rate of alpha-synuclein in cerebrospinal fluid,,2013,2013; Unknown status,,,,
Transcranial Magnetic Stimulation,NCT04549155,N/A,MCI,40,"During 3 followup sessions (Day 2, Day 3, Day 4)","Change in Episodic Memory Task Performance (accuracy and response time); Change in neurovascular reactivity, as measured by resting-state fluctuations in activity (RSFA); Change in structural connectivity, as measured by fractional anisotropy (FA)",,2020,2021; Not yet recruiting,,,device,
,NCT04771845,,"MCI, AD",73,05/01/2008-05/30/2020,"Controlled Oral Word Association Test; Boston 30-item naming test; Wechsler Adult Intelligence Scale III; Wechsler Memory Scale III; Buschke Selective Reminding Test, 12 item; Buschke Selective Reminding Test, 12 item, 15 minute; Rosen Drawing Test; Processing speed; Mini-mental status examination",,2021,2021; Completed,,,,
,NCT02346708,N/A,PD,49,2 w,Post-TMS Change From Baseline in Cognitive Scores; Change in Magnetoencephalography (MEG) Connectivity Measures,,2015,2021; Completed,,,,
,NCT02265315,N/A,PD,70,19 w,Clinical assessment:; Patient assessment:; Physiological assessment:; Clinical assessment; Patient self-assessment,,2014,"2020; Active, not recruiting",,,,
,NCT03590327,N/A,MCI,125,"2 w, 6 w, 6 m, 12 m, 24 m, 36 m, and 48 m",Change in Apathy Evaluation Scale Score; Change in Modified Mini Mental State Examination Score; Change in Conner's Continuous Performance Test Commission Error percentage,,2018,2020; Recruiting,,,,
,NCT03906903,N/A,MCI,20,1 week,Montreal Cognitive Assessment (MoCA); Mini Mental State Examination (MMSE); Attention and Memory Neuropsychological Battery (NEUROPSI); Changes in Depressive symptoms evaluated by Geriatric Depression Scale (GDS - Yesavage - Brink); Changes in impulsive behavior evaluated by Barratt Impulsivity Scale (BIS-11),,2019,2019; Recruiting,,,,
,NCT01504958,N/A,AD,22,"Pre-treatment, 1 month Post-treatment",Alzheimer's Disease Cooperative Study - Activities of Daily Living Inventory (ADCS-ADL); Clinical Global Impression of Change (CGIC); Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog),,2012,2017; Completed,,,,
,NCT01080794,N/A,PD,61,"Pre-treatment; Post-treatment 0,1,3, and 6 m.","Hamilton Depression Scale (HAM-D); Parkinson's Disease Questionnaire 39 (PDQ-39); Apathy Evaluation Scale (AES); Clinical Anxiety Scale (CAS); The Number All Types of Adverse Events.; Global Impression Scales; Beck Depression Inventory (BDI-II); Unified Parkinson's Disease Rating Scale (UPDRS) Parts I, II, and IV; Montreal Cognitive Assessment (MoCA); Motor Subscale of the Unified Parkinson's Disease Rating Scale (UPDRS Part III)",,2010,2017; Completed,,,,
Transcranial direct current stimulation,NCT04811066,N/A,PD,45,"Four assessments: Baseline / pre-intervention, three-d post intervention, 1 week post intervention, and 4 w post intervention",Change from baseline: sequential finger tapping performance; Change from baseline: shape-counting error; Change from baseline: oxygenated haemoglobin response; Change from baseline: Movement Disorders Society Unified Parkinson's Disease Rating Scale Motor Section (Part 3); Change from baseline: upper limb motor task performance; Change from baseline: Purdue pegboard task performance,,2021,2021; Recruiting,,,device,
,NCT04787406,N/A,PD,33,"Two assessments: Baseline / pre-intervention, and immediately post-intervention",Change from baseline sequential finger tapping performance; Change from baseline oxygenated haemoglobin response; Change from baseline shape-counting error,,2021,2021; Completed,,,,
,NCT03759132,P2/P3,PD,18,Immediately after tDCS,Change from COP - AP axis; Change from COP - ML axis; Change from COP - area; Adverse effects,,2018,2020; Completed,,,,
,NCT01113086,N/A,PD,12,after treatment (10 d) and at follow up (1 and 2 m after final stimulation),"Evidence of improvement in general motor functioning in patients with Parkinson's.; Evidence of improvement in cognitive functioning in the areas of: executive function, reasoning, visuospatial ability, and working memory for patients with Parkinson's.",,2010,2020; Completed,,,,
,NCT03521089,N/A,MCI,16,"Baseline, 1 month post intervention",Change in Oral Reading Recognition Test Score; Change in Picture Sequence Memory Test v2.1 Score; Change in Pattern Comparison Processing Speed Test Scores; Change in Dimensional Change Card Sort Test; Change in List Sorting Working Memory Test Scores; Change in Picture Vocabulary Test Scores; Change in Flanker Inhibitory Control and Attention Test Scores,,2018,2020; Completed,,,,
,NCT01653431,P1/P2,MCI,68,Post treatment,California Verbal Learning Test II,,2012,2020; Completed,,,,
,NCT02216474,N/A,HD,20,From baseline to five minutes after brain stimulation and from baseline to two w after stimulation (follow-up),"Change in cognitive function (working memory, response inhibition); Change in motor symptom severity (tics/chorea); Mood change (anxiety and depression questionnaire scores)",,2014,2020; Completed,,,,
,NCT04171804,N/A,PD,20,Up to one month,"Changes in cognitive performance in Trail Making B Test during the study period; Changes in response conflict in the Stroop Test during the study period; Change in the verbal fluency performance during the study period; Changes in Trail Making A Test performance during the study period; Changes in digit span during the study period; Changes in delayed recall performance during the study period; Changes in verbal memory processes performance during the study period; Changes in face recognition performance during the study period; Changes in judgment of line orientation performance during the study period; Changes in the naming performance during the study period; Changes in amplitudes (in microvolts) for parameters from the ERP tests during the study period for parameters from the ERP tests during the study period; Changes in latencies (in milliseconds) for parameters from the ERP tests during the study period for parameters from the ERP tests during the study period; Changes in resting state absolute powers (measured in µv2/Hz) of alpha, beta, delta, theta, gamma bands during both eyes closed and eyes open conditions during the study period; Changes in resting state relative powers of alpha, beta, delta, theta, gamma bands during both eyes closed and eyes open conditions during the study period; Changes in resting state dominant frequencies during both eyes closed and eyes open conditions during the study period; Changes in task accuracies from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period; Changes in reaction times from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period; Changes in Parkinson's Disease Quality of Life Questionnaire (PDQ-39) Score during the study period; Changes in Parkinson's Disease Fatigue Scale Score during the study period; Changes in Apathy Evaluation Scale Score during the study period",,2019,2019; Recruiting,,,,
,NCT03721887,N/A,"MSA, PD",40,baseline to week 4,EEG recording before and after the tDCS session; Electromyography recording before and after the tDCS session; Change in Unified Parkinson's Disease Rating Scale (UPDRS) Part III before and after the tDCS session; Change in Unified Multiple System Atrophy Rating Scale (UMSARS) subscores (UMSARS-1 and UMSARS-2) before and after the tDCS session; Change in New freezing of gait questionnaire (NFOG-Q) before and after the tDCS session; Change in Tinetti's Mobility Index total score before and after the tDCS session; Change inParkinson's Disease Questionnaire 39 (PDQ-39) before and after the tDCS session; Change in Short Form 36 Health Survey (SF-36) total score before and after the tDCS session,,2018,2018; Recruiting,,,,
,NCT03127475,N/A,PD,20,baseline to week 4,Change in laboratory gait analysis after the tDCS session; Change in Unified Parkinson's Disease Rating Scale (UPDRS) after the tDCS session; Change in the 39-item Parkinson's Disease Questionnaire (PDQ-39) after the tDCS session; Change in non-motor symptom assessment scale for Parkinson's Disease after the tDCS; Change in Fall assessment test after the tDCS session; Change in new freezing of gait questionnaire(NFOG-Q) after the tDCS session; Change in Tinetti's Mobility Index after the tDCS session,,2017,2018; Unknown status,,,,
,NCT02453763,,"AD, PD",17,Day 1,Magnetic Resonance Imaging (MRI) of therapeutic current flow,,2015,2018; Completed,,,,
,NCT02960464,N/A,PD,50,8 w,Hamilton Rating Scale for Depression; Montgomery-Åsberg Depression Rating Scale; Mini-Mental State Examination; Hamilton Anxiety Rating Scale; Geriatric Depression Scale -15; Parkinson's Disease Questionnaire - 39; Lille apathy rating scale; Quantitative EEG,,2016,2016; Unknown status,,,,
,NCT01481558,P2,AD,40,Differences in outcome measure comparing second week to baseline,Apathy Symptoms,,2011,2014; Completed,,,,
Repetitive Transcranial Magnetic Stimulation,NCT02420522,P2,MCI,64,Three w,Cognitive changes,,2015,2021; Suspended,,,device,
,NCT04048265,N/A,PD,52,"Pre-treatment, post-treatment 0, 4 w",Changes in the pain caused by Parkinson's Disease as measured by Visual Analogue Scale Score.; Changes in the patient's parkinson's disease as measured by Unified Parkinson's Disease Rating Scale III(UPDRS III) score.,,2019,2020; Completed,,,,
,NCT04313530,N/A,MSA,22,"Pre-treatment, post-treatment 0, 2, 4 w",Changes in Fatigue Severity Scale (FSS); Changes in HAMD; Changes in HAMA,,2020,2020; Enrolling by invitation,,,,
,NCT02468804,N/A,PD,120,Change immediately after a single session TMS (pre will be done 1 week prior),Performance on working memory task (N-back task),,2015,"2019; Active, not recruiting",,,,
,NCT03906903,N/A,MCI,20,1 week,Montreal Cognitive Assessment (MoCA); Mini Mental State Examination (MMSE); Attention and Memory Neuropsychological Battery (NEUROPSI); Changes in Depressive symptoms evaluated by Geriatric Depression Scale (GDS - Yesavage - Brink); Changes in impulsive behavior evaluated by Barratt Impulsivity Scale (BIS-11),,2019,2019; Recruiting,,,,
,NCT02537496,N/A,AD,36,Change from baseline at 7 d and 6 m after intervention.,Change in N-back Task Performance; Changes in Theta Phase-Gamma Amplitude Coupling; Changes in DLPFC Neuroplasticity; Changes in Cognitive Function Measures Scores; Validating a new scale for insight in Alzheimer's disease.,,2015,2019; Completed,,,,
,NCT03350464,N/A,PD,10,10 w,No change in the patient's parkinson's disease as measured by Unified Parkinson's Disease Rating Scale III; An improvement by a minimum of 30% in the pain caused by Parkinson's Disease as measured by the King's Parkinson's Disease Pain Scale,,2017,2017; Unknown status,,,,
,NCT01275573,P2,PD,30,"D1 T0, D1 T1h30mn, D7 T0, D7 T1h30mn",Analgesic effect of Repetitive Transcranial Magnetic Stimulation using Visual Analogue Scale; Change of subjective pain threshold determined using thermal stimulation (Thermotest) with the method of levels after rTMS session; - Clinical evaluation of the severity of the motor handicap of patients using Unified's Parkinson's Disease Rating Scale (UPDRSIII); Mood assessment using Visual Analogue Scale,,2011,2013; Completed,,,,
Leukine,NCT01409915,P2,AD,44,109 d (Baseline to Follow-up 2),"Trail Making Test - Part A (TMT-A) From Baseline to End of Treatment, Follow-up 1 and Follow-up 2; Clinical Dementia Rating Scale - Sum of Boxes (CDR-SB) From Baseline to End of Treatment to Follow-up 1 and Follow-up 2; Alzheimer's Disease Cooperative Study -Activities of Daily Living Inventory (ADCS-ADL) From Baseline to End of Treatment, Follow-Up 1 and Follow-Up 2 (45 and 90 Days Post Treatment); Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog13) From Baseline to End of Treatment, Follow-Up 1 and Follow-Up 2 (45 and 90 Days Post Treatment); MMSE (Mini Mental State Examination) From Baseline to End of Treatment, Follow-Up 1 and Follow-Up 2 (45 and 90 Days Post Treatment); Count of AE's by Body System",,2011,2021; Completed,,,drug,
,NCT03790670,P1,PD,10,"24 m of treatment, followed by 1 month drug cessation",Incidence of Treatment-Associated Adverse Events; Determination of Immune Cell Phenotype; Determination of Immune Cell Number; Determination of Immune Cell Function,,2019,2020; Recruiting,,,,
,NCT02667496,P2,AD,0,"At Days 1, 29, 57, 85, and 155",Change from baseline in standardized uptake value ratio as measured by PET using florbetapir F18 (Amyvid); Number of patients experiencing treatment-emergent adverse events (TEAEs); Change from baseline in CSF analysis; MRI to assess for emergence of amyloid related imaging abnormalities (ARIA); Measurement of antidrug antibody levels,,2016,2017; Withdrawn,,,,
,NCT01882010,P1,PD,37,"-4, +8, +12 w",Number of adverse events; Change in UPDRS part III score; Change in blood analyses results; Abnormal findings in physical examination; Change in FACS results; Change in function of Treg cells; Change in magnetoencephalography results; Change in Motion Analysis,,2013,2016; Completed,,,,
Sham Transcranial Magnetic Stimulation,NCT02420522,P2,MCI,64,Three w,Cognitive changes,,2015,2021; Suspended,,,device,
,NCT03121066,N/A,AD,45,3 d after the end of the treatment,Change in Cognitive improvement; Functional capacity changes; Mood changes; Changes in brain connectivity,,2017,2019; Not yet recruiting,,,behav,
Exergame,NCT02963415,N/A,AD,12,3-6 m,VCRT adherence rate; Usability and satisfaction with the exergame; Feasibility of the exergame development; Cycling adherence rate,,2016,2021; Recruiting,,,behav,
,NCT04262674,N/A,MCI,82,16 hours,Electroencephalography (EEG); Gait speed analysis with inertial sensors; Gait variability analysis with inertial sensors; Heart rate variability (HRV) indices SDNN and RMSSD with two-lead electrocardiogram chest belt; Heart rate variability (HRV) index HF power with two-lead electrocardiogram chest belt; Body temperature (T) with temperature sensors (thermistors); Cognitive performance with neuropsychological tests; Core body temperature (Tc) with telemetric gastrointestinal temperature pill,,2020,"2021; Active, not recruiting",,,,
,NCT04311736,N/A,MCI,96,change from baseline to 3 m,Episodic Memory; Executive Function; Global Cognition; Aerobic Fitness; Physical Function,,2020,2020; Recruiting,,,,
,NCT02777060,N/A,PD,200,4-6 w,Change in Balance; Change in gait Speed; Change in Stride length; Change in Stride time; Change in number of walking steps per day; Change in average of walking bout; Change in average of standing bout; Change in average of longest walking bout,,2016,2016; Unknown status,,,,
