Table 3.  Biomarkers in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
,NCT02038608,N/A,PD,49,"These correlations will be determined at the end of the inclusion period, thus 24 to 36 m after study onset (January 2014).",Respective progression of both dopaminergic and serotoninergic lesions in Parkinson's disease; Correlations between neuropsychiatric observed in Parkinson's disease at different stages of evolution; Role of dopaminergic and serotoninergic lesions in fatigue; Relationship between the severity of dopaminergic and serotoninergic lesions and the quality of life,,2014,2015; Completed,,,
Florbetapir F 18,NCT04726527,,AD,48,4 years,Detecting amyloid burden in subjects with neurodegenerative diseases,,2021,2021; Completed,,,
,NCT04474405,Early P1,AD,36,injection to 6 hours postdose,Flortaucipir Whole Body Effective Dose With Urine Radioactivity; Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Alzheimer's Disease Assessment Scale); Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Digit Symbol Substitution Test); Flortaucipir PET Correlations With Cognitive Assessments (Mini-mental State Exam); Flortaucipir Whole Body Effective Dose; Brain Flortaucipir Uptake,,2020,2020; Completed,,,
,NCT02051764,P2,AD,44,baseline scan and at least 6 m after baseline scan,Change in Tau Deposition,,2014,2020; Terminated,,,
,NCT03019536,P1,AD,24,Post first dose through 64 w,Number of Participants with One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration; Pharmacokinetics: Maximum Serum Concentration (Cmax) of LY3303560; Pharmacokinetics: Area Under the Serum Concentration Time Curve During the Dosing Interval (AUC) of LY3303560,,2017,2019; Completed,,,
,NCT01518374,P2,"AD, MCI",1768,48 hours,Number of Participants Experiencing Treatment-emergent Adverse Events Considered Related to Florbetapir Administration,,2012,2018; Completed,,,
,NCT02120664,P1,AD,35,up to 70 minutes post injection,Variability of PET Images in Young Healthy Control Subjects.; Correlation of Florbetapir (18F) Centiloid and 11C-PiB Centiloid; Florbetapir SUVr Conversion to Centiloid Units,,2014,2017; Completed,,,
,NCT02107599,P4,AD,96,Scan acquired 50-60 minutes post injection,Change in Scan Interpretation Reliability After Application of Quantitation Software; Change in Reader Accuracy After Application of Quantitation Software,,2014,2015; Completed,,,
,NCT02029547,N/A,AD,0,Scan acquired 50-60 minutes post-injection,Inter Rater Reliability; Percent Agreement with Expert Panel; Change in inter reader reliability after application of quantitation software; Change in agreement with expert panel,,2014,2014; Withdrawn,,,
,NCT01890343,P2,"FTDLD, AD",34,50-60 minutes after injection,Quantitative Amyloid Image Assessment; Qualitative Amyloid Image Assessment,,2013,2014; Completed,,,
,NCT01660815,P1,AD,7,0-360 minutes,Whole Body Radiation Dosimetry,,2012,2013; Completed,,,
,NCT01662882,P2/P3,"MCI, AD",48,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Qualitative Amyloid Image Assessment,,2012,2013; Completed,,,
Positron Emission Tomography (PET),NCT03699644,N/A,"FTDLD, AD",50,45 Minutes,Presence of Retinal Thinning; Presence of Amyloid Plaque; Presence of Brain Pathology; Presence of Brain Metabolism; Presence of Macular Vascular Anomalies,,2018,2021; Suspended,,,
,NCT04118764,N/A,AD,6,Screening through 3 m post-treatment,Total Number of Individuals with Successful Opening of the BBB; Total number of Safety Events Related to Opening of BBB; Percent Change in Amyloid PET Signal Intensity; Change in Mini-Mental State Examination (MMSE) Score,,2019,2020; Recruiting,,,
,NCT00106899,,AD,818,,,,2005,2014; Completed,,,
Flortaucipir F18,NCT04080544,P2,AD,125,1-year post study completion,Standardized Uptake Value Ratios (SUVrs) Calculated From [18F]AV-1451 PET Scans; Relationship of Tau Accumulation with Episodic Memory Function; Relationship of Tau Accumulation with Amyloid Accumulation; Relationship of Tau Accumulation with Speed of Processing; Relationship of Tau Accumulation with Reasoning Function; Relationship of Tau Accumulation with Crystallized Intelligence; Relationship of Tau Accumulation with Participants' Age; Comparison of Tau SUVr scores with Hippocampal Volume and Cortical Thickness; Comparison of Tau Accumulation with White Matter Integrity; Comparison of Tau Accumulation with Functional magnetic resonance imaging (MRI),,2019,2021; Recruiting,,,
,NCT03040713,P1,FTDLD,16,baseline scan,Quantitative Evaluation of Flortaucipir PET Scans; Qualitative Evaluation of Flortaucipir PET Scans,,2017,2020; Completed,,,
,NCT04468347,P1,"MCI, AD",89,baseline scan,Number of Participants With AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Number of Participants With Advanced AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Flortaucipir PET Imaging (Quantitative),,2020,2020; Completed,,,
,NCT04474405,Early P1,AD,36,injection to 6 hours postdose,Flortaucipir Whole Body Effective Dose With Urine Radioactivity; Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Alzheimer's Disease Assessment Scale); Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Digit Symbol Substitution Test); Flortaucipir PET Correlations With Cognitive Assessments (Mini-mental State Exam); Flortaucipir Whole Body Effective Dose; Brain Flortaucipir Uptake,,2020,2020; Completed,,,
,NCT02016560,P2/P3,AD,383,baseline scan,"Exploratory Phase: Correlation Between Flortaucipir SUVr and Age; Confirmatory Phase: Diagnostic Performance of Flortaucipir Visual Read; Exploratory Phase: Longitudinal Change in Tau Deposition Over Time, by Amyloid Status; Exploratory Phase: Cross-sectional Flortaucipir Imaging Results; Confirmatory Phase: Relationship Between Neocortical Flortaucipir Uptake and the Subsequent Rate of Cognitive Decline",,2013,2020; Completed,,,
,NCT02278354,P1,AD,35,baseline scan,Flortaucipir Imaging (Qualitative) Between Fighter Groups; Flortaucipir Imaging (Qualitative) Between Cognitive Groups; Flortaucipir Imaging (Quantitative) Between Fighter Groups; Flortaucipir Imaging (Quantitative) Between Cognitive Groups,,2014,2020; Completed,,,
,NCT02278367,P2,AD,179,baseline and follow-up scans,Flortaucipir PET Scan SUVr; Number of Participants With Adverse Events Related to Flortaucipir Administration,,2014,2020; Completed,,,
,NCT01992380,P1,AD,24,110-130 minutes postdose,Test-Retest Reproducibility,,2013,2020; Completed,,,
,NCT02051764,P2,AD,44,baseline scan and at least 6 m after baseline scan,Change in Tau Deposition,,2014,2020; Terminated,,,
,NCT02079766,P2,CTE,41,baseline scan,Relationship Between Clinical Presentation and Tau Deposition (Subjects at High Risk of CTE Only); Flortaucipir Visual Read as CTE Biomarker,,2014,2020; Completed,,,
,NCT02516046,P3,AD,156,at autopsy within 9 m of baseline scan,Diagnostic Performance of Individual Readers (NFT Score B2-B3 as Truth Positive); Inter-Reader Agreement; Flortaucipir Diagnostic Performance (NIA-AA Autopsy Diagnosis); Flortaucipir Diagnostic Performance (NFT Score); Primary Outcome 2: Diagnostic Performance of Individual Readers (NIA-AA Autopsy Diagnosis); Primary Outcome 1: Diagnostic Performance of Individual Readers (NFT Score),,2015,2020; Completed,,,
,NCT02167594,P1,"CBD, PSP",29,baseline and 9 month scans,"Flortaucipir Imaging in PSP, CBD and Healthy Volunteers",,2014,2020; Completed,,,
,NCT02795780,P2,AD,79,18 m,Change in Tau Deposition Over Time by Diagnostic Group and Amyloid Status,,2016,2020; Completed,,,
,NCT03322462,P2,AD,155,baseline scan,Flortaucipir Qualitative Results (Visual Reads); Flortaucipir Quantitative Results (SUVr),,2017,2020; Completed,,,
,NCT03467477,P2,AD,161,baseline scan,Flortaucipir Qualitative Results (Visual Reads); Flortaucipir Quantitative Results (SUVr),,2018,2020; Completed,,,
,NCT02336360,P1,AD,6,0-360 minutes post injection,Urine Analysis - Total Integrated Radioactivity Excreted in Urine,,2015,2020; Completed,,,
,NCT03019536,P1,AD,24,Post first dose through 64 w,Number of Participants with One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration; Pharmacokinetics: Maximum Serum Concentration (Cmax) of LY3303560; Pharmacokinetics: Area Under the Serum Concentration Time Curve During the Dosing Interval (AUC) of LY3303560,,2017,2019; Completed,,,
[18F]AV-1451,NCT04080544,P2,AD,125,1-year post study completion,Standardized Uptake Value Ratios (SUVrs) Calculated From [18F]AV-1451 PET Scans; Relationship of Tau Accumulation with Episodic Memory Function; Relationship of Tau Accumulation with Amyloid Accumulation; Relationship of Tau Accumulation with Speed of Processing; Relationship of Tau Accumulation with Reasoning Function; Relationship of Tau Accumulation with Crystallized Intelligence; Relationship of Tau Accumulation with Participants' Age; Comparison of Tau SUVr scores with Hippocampal Volume and Cortical Thickness; Comparison of Tau Accumulation with White Matter Integrity; Comparison of Tau Accumulation with Functional magnetic resonance imaging (MRI),,2019,2021; Recruiting,,,
,NCT02676843,P2,FTDLD,7,"Baseline, 12-month follow up",SUVR of 18F-AV-1451,,2016,2019; Completed,,,
F-18 THK-5351,NCT02686216,P1,AD,24,One year,The primary outcome measures are to evaluate the dosimetry of novel radiotracer F-18 THK-5351 in human.; Optimal scanning time for brain imaging using F-18 THK-5351.,,2016,2021; Completed,,,
,NCT03386669,P2,PD,44,YEAR ONE,To establish Tau image pattern for Tauopathies with parkinsonism.,,2017,2021; Completed,,,
F-18,NCT03386669,P2,PD,44,YEAR ONE,To establish Tau image pattern for Tauopathies with parkinsonism.,,2017,2021; Completed,,,
,NCT03625128,Early P1,"FTDLD, AD, PSP",36,YEAR ONE,The primary outcome measures are to evaluate the dosimetry of novel radiotracer 18F-PM-PBB3 in human.; Optimal scanning time for brain imaging using 18F-PM-PBB3 .,,2018,2019; Completed,,,
11C-UCB-J PET-CT,NCT04701580,N/A,HD,35,Data analysis wel be done when all subjects have undergone the 2-year follow-up evaluation.,"Baseline differences in synaptic density.; Baseline correlations between clinical scores and regional synaptic density.; Differences in the rate of decline of synaptic density.; Correlations between progression of the clinical scores and decline of synaptic density.; Baseline differences in cerebral glucose metabolism.; Baseline correlations between clinical scores and cerebral glucose metabolism.; Differences in the rate of decline of cerebral glucose metabolism.; Correlations between progression of the clinical scores and decline of cerebral glucose metabolism in the patient group, after longitudinal follow up of 2 years.",,2021,2021; Recruiting,,,
,NCT04243304,N/A,PD,50,Data analysis wel be done when all subjects have undergone the 2-year follow-up evaluation.,Baseline differences in synaptic density.; Correlations between clinical scores and synaptic density.; Differences in the rate of decline of synaptic density.; Correlations between progression of the clinical scores and decline of synaptic density.; Baseline differences in DAT levels.; Correlations between clinical scores and DAT levels.; Differences in the rate of decline of global and DAT levels.; Correlations between progression of the clinical scores and decline of DAT levels.,,2020,2020; Recruiting,,,
[F-18]PBR06,NCT04616456,Early P1,MSA,8,1 month,standardized uptake values (SUV); standardized uptake ratios (SUVRs),,2020,"2021; Active, not recruiting",,,
,NCT02649985,P1/P2,AD,105,1 month,Tissue Volume of Distribution; Standardized uptake values (SUV)/Standardized uptake value Ratios (SUVR),,2016,2020; Recruiting,,,
,NCT03033680,P1/P2,MSA,16,1 month,Tissue Volume of Distribution,,2017,2020; Recruiting,,,
FluoroTau,NCT02656498,P2,"MCI, AD",135,50-70 minutes post-injection,Cross-sectional [18F]THK-5351 Imaging Results; Assess the rate of change of tau deposition as measured by [18F]THK-5351 uptake (SUVR) over time; Correlation between standard uptake value ratio (SUVR) of [18F]THK-5351 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]THK-5351 positron emission computed tomography and indices of structural MRI; Correlation between standard uptake value ratio (SUVR) of [18F]THK-5351 positron emission computed tomography and indices of functional MRI; Correlation between standard uptake value ratios (SUVR) and distribution of [18F]THK-5351 positron emission computed tomography and amyloid positron emission computed tomography,,2016,2020; Completed,,,
,NCT03112096,P1,AD,12,0-90 minutes post injection or 50-70 minutes post injection,Pharmacokinetics: Maximum Serum Concentration (Cmax) of [18F]THK-5351; Assess global and regional tau deposition as measured by standard uptake value ratio (SUVR) of [18F]THK-5351; Correlation between standard uptake value ratio (SUVR) and distribution volume of ratio(DVR) of [18F]THK-5351 positron emission computed tomography; Optimal scanning time for brain imaging using F-18 THK-5351.; Concentrations of metabolite in plasma of [18F]THK-5351; Number of participants with treatment related adverse events as a measure of safety,,2017,2020; Completed,,,
,NCT03510572,Early P1,"AD, PD, FTDLD",20,60-90 minutes post injection,Cross-sectional [18F]PI-2620 Imaging Results; .Assess the rate of change of tau deposition as measured by [18F]PI-2620 uptake (SUVR) over time; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2018,2020; Completed,,,
,NCT03903211,P2,"AD, MCI",72,0-90 minutes post injection,Cross-sectional PI-2620 uptake measured by standard uptake value ratio (SUVR); Changes of PI-2620 uptake over time measured by standard uptake value ratios (SUVR); Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2019,2020; Recruiting,,,
Bromocriptine,NCT04413344,P1/P2,AD,10,Until Week 36,"Safety (Incidence and severity of adverse events and adverse reactions); Severe impairment battery-Japanese version (SIB-J); Neuropsychiatric Inventory (NPI); Mental Function Impairment Scale (MENFIS); Mini-Mental State Examination-Japanese (MMSE-J); Disability Assessment for Dementia (DAD); Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS) part III; Apathy Scale; Plasma Aβ protein concentration; Plasma NfL protein concentration; Plasma Total Tau, Plasma p-Tau concentration; Cerebrospinal fluid (CSF) Aβ concentration; CSF Total Tau, CSF p-Tau concentration; Blood bromocriptine concentration; Wearable physical activity meter; Finger tapping sensor readout; Brain amyloid PET image; Brain tau PET image; Upper motor neuron burden score; Plasma Aβ-related peptides concentration",,2020,2020; Recruiting,,,drug
,NCT01673724,P4,PD,121,24 w,K-NMSS; K-MADRS; UPDRS I/II/III; K-PDQ39,,2012,2017; Completed,,,
,NCT02172573,P3,PD,315,up to 12 w,"Change from baseline in total score of the Unified Parkinson's Disease Rating Scale (UPDRS) Part II (Activities of Daily Living); Change from baseline in total score of UPDRS Part III (Motor Examination); Changes from baseline in sores of individual items on UPDRS Part II; Changes from baseline in scores of individual items on UPDRS Part III; Change from baseline in area under the curve (AUC) in the UPDRS Part II score; Change from baseline in area under the curve (AUC) in the UPDRS Part III score; Change from baseline in total score of UPDRS Part I (mentation, behaviour and mood); Change from baseline in total score of UPDRS Part IV (complications of therapy); Change from baseline in total score of UPDRS Part I-III; Change from baseline in total score of UPDRS Part I-IV; Change from baseline in Modified Hoehn & Yahr stage; Clinical global impression of efficacy; Number of patients with adverse events; Number of patients with clinically significant changes in vital signs (blood pressure, pulse rate); Number of patients with abnormal changes in laboratory parameters; Number of patients with abnormal changes in 12-lead electrocardiogram (ECG)",,2014,2014; Completed,,,
,NCT00240409,P3,PD,208,,"Totalled score according to Part III of UPDRS (motor examination) Totalled score according to Part II of UPDRS (activities of daily living); Totalled score of UPDRS Part IV, UPDRS Part I, the Modified Hoehn and Yahr Staging, Parkinson Dyskinesia Scale, and patient records.",,2005,2013; Completed,,,
AV-45,NCT04588649,P2,MCI,181,"through study completion, an average of 1.5 year",CDR score of cognition deteriorating group and stable group; Imaging positive and negative conditions,,2020,2020; Completed,,,
,NCT01459016,P1,AD,56,"Baseline, 6 Mos; Baseline, 12 Mos",Change From Baseline in the Clinical Dementia Rating (CDR) Total Score; Change From Baseline in the Alzheimer's Disease Assessment Scale Extended Cognitive Subscale (ADAS-Cog14) Total Score; Change From Baseline in the Mini Mental State Examination (MMSE) Total Score; Number of Participants With Microhemorrhage on MRI Scan at a Field Strength of 3T; Number of Participants With Vasogenic Edema on MRI Scan at a Field Strength of 3 Tesla (3T); Baseline Brain Amyloid Load Using Positron Emission Tomography (PET) and Florbetapir; Change From Baseline in Diffusion Tensor Imaging (DTI) Using Mean Diffusivity (MD); Change From Baseline in Diffusion Tensor Imaging (DTI) Using Fractional Anisotropy (FA); Change From Baseline in Resting State Functional Magnetic Resonance Imaging (rsfMRI); Change From Baseline in Volumetric Magnetic Resonance Imaging (vMRI) - Hippocampus Volume Average Percent (%) Change (Chg); Change From Baseline in Volumetric Magnetic Resonance Imaging (vMRI) - Brain Boundary Shift Integral (BBSI) and Ventricular Boundary Shift Integral (VBSI),,2011,2018; Completed,,,
,NCT01703702,P4,AD,641,Baseline and 3 m,Change in Patient Management: Individual Categories; Change in Caregiver Self-efficacy; Change in Patient Management: Advice/Counseling; Change in Diagnostic Confidence; Change in Patient's Clinical Diagnosis; Change in ADAS-Cog 11 Total Score; Clinical and Diagnostic Change in Patient Management,,2012,2016; Completed,,,
,NCT00857415,P3,AD,226,at autopsy up to 12 m post-scan,Regional Correlation Analysis; Specificity Analysis; Correlation of Florbetapir-PET Image and Amyloid Plaque Density,,2009,2012; Completed,,,
Brain PET scan,NCT03040713,P1,FTDLD,16,baseline scan,Quantitative Evaluation of Flortaucipir PET Scans; Qualitative Evaluation of Flortaucipir PET Scans,,2017,2020; Completed,,,
,NCT04468347,P1,"MCI, AD",89,baseline scan,Number of Participants With AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Number of Participants With Advanced AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Flortaucipir PET Imaging (Quantitative),,2020,2020; Completed,,,
,NCT02278354,P1,AD,35,baseline scan,Flortaucipir Imaging (Qualitative) Between Fighter Groups; Flortaucipir Imaging (Qualitative) Between Cognitive Groups; Flortaucipir Imaging (Quantitative) Between Fighter Groups; Flortaucipir Imaging (Quantitative) Between Cognitive Groups,,2014,2020; Completed,,,
,NCT02278367,P2,AD,179,baseline and follow-up scans,Flortaucipir PET Scan SUVr; Number of Participants With Adverse Events Related to Flortaucipir Administration,,2014,2020; Completed,,,
,NCT01992380,P1,AD,24,110-130 minutes postdose,Test-Retest Reproducibility,,2013,2020; Completed,,,
,NCT02167594,P1,"CBD, PSP",29,baseline and 9 month scans,"Flortaucipir Imaging in PSP, CBD and Healthy Volunteers",,2014,2020; Completed,,,
[F-18]T807,NCT03040713,P1,FTDLD,16,baseline scan,Quantitative Evaluation of Flortaucipir PET Scans; Qualitative Evaluation of Flortaucipir PET Scans,,2017,2020; Completed,,,
,NCT04468347,P1,"MCI, AD",89,baseline scan,Number of Participants With AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Number of Participants With Advanced AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Flortaucipir PET Imaging (Quantitative),,2020,2020; Completed,,,
,NCT04474405,Early P1,AD,36,injection to 6 hours postdose,Flortaucipir Whole Body Effective Dose With Urine Radioactivity; Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Alzheimer's Disease Assessment Scale); Flortaucipir PET Correlations With Cognitive Assessments Cognitive Assessments (Digit Symbol Substitution Test); Flortaucipir PET Correlations With Cognitive Assessments (Mini-mental State Exam); Flortaucipir Whole Body Effective Dose; Brain Flortaucipir Uptake,,2020,2020; Completed,,,
,NCT02278354,P1,AD,35,baseline scan,Flortaucipir Imaging (Qualitative) Between Fighter Groups; Flortaucipir Imaging (Qualitative) Between Cognitive Groups; Flortaucipir Imaging (Quantitative) Between Fighter Groups; Flortaucipir Imaging (Quantitative) Between Cognitive Groups,,2014,2020; Completed,,,
,NCT02278367,P2,AD,179,baseline and follow-up scans,Flortaucipir PET Scan SUVr; Number of Participants With Adverse Events Related to Flortaucipir Administration,,2014,2020; Completed,,,
,NCT03901092,P3,AD,242,baseline scan,Secondary Objective 4: Intra-reader Reliability of Reader Interpretation of Flortaucipir-PET Imaging; Secondary Objective 3: Inter-reader Reliability of Flortaucipir PET Scan Interpretation in the Population of Intended Use; Secondary Objective 2: Inter-reader Reliability of Reader Interpretation of τAD++ Flortaucipir PET Images; Secondary Objective 1 Analysis 2: Diagnostic Performance of τAD++ Flortaucipir PET Images to Detect High ADNC; Secondary Objective 1 Analysis 1: Diagnostic Performance of τAD++ Flortaucipir PET Images to Detect B3 NFTs; Primary Objective 2: Inter-reader Reliability of Reader Interpretation of Flortaucipir-PET Imaging; Primary Objective 1 Analysis 2: Diagnostic Performance of Individual Readers (NIA-AA Autopsy Diagnosis); Primary Objective 1 Analysis 1: Diagnostic Performance of Individual Readers (NFT Score),,2019,2020; Completed,,,
,NCT02051764,P2,AD,44,baseline scan and at least 6 m after baseline scan,Change in Tau Deposition,,2014,2020; Terminated,,,
,NCT02516046,P3,AD,156,at autopsy within 9 m of baseline scan,Diagnostic Performance of Individual Readers (NFT Score B2-B3 as Truth Positive); Inter-Reader Agreement; Flortaucipir Diagnostic Performance (NIA-AA Autopsy Diagnosis); Flortaucipir Diagnostic Performance (NFT Score); Primary Outcome 2: Diagnostic Performance of Individual Readers (NIA-AA Autopsy Diagnosis); Primary Outcome 1: Diagnostic Performance of Individual Readers (NFT Score),,2015,2020; Completed,,,
,NCT03901105,P3,AD,205,baseline scan,Inter-Reader Reliability of Reader Interpretation of Flortaucipir F 18 PET Imaging; Mean Change in Cognitive/Functional Assessments; Risk Ratio for AD Symptom Progression on Various Clinical Measures; Risk Ratio for AD Symptom Progression on CDR-SB,,2019,2020; Completed,,,
,NCT03322462,P2,AD,155,baseline scan,Flortaucipir Qualitative Results (Visual Reads); Flortaucipir Quantitative Results (SUVr),,2017,2020; Completed,,,
,NCT03467477,P2,AD,161,baseline scan,Flortaucipir Qualitative Results (Visual Reads); Flortaucipir Quantitative Results (SUVr),,2018,2020; Completed,,,
,NCT02336360,P1,AD,6,0-360 minutes post injection,Urine Analysis - Total Integrated Radioactivity Excreted in Urine,,2015,2020; Completed,,,
,NCT03019536,P1,AD,24,Post first dose through 64 w,Number of Participants with One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration; Pharmacokinetics: Maximum Serum Concentration (Cmax) of LY3303560; Pharmacokinetics: Area Under the Serum Concentration Time Curve During the Dosing Interval (AUC) of LY3303560,,2017,2019; Completed,,,
,NCT02350634,P1,AD,3,autopsy within 6 m of scan,Relationship of 18F-AV-1451 scan and pathology,,2015,2018; Completed,,,
florbetapir F 18,NCT02016560,P2/P3,AD,383,baseline scan,"Exploratory Phase: Correlation Between Flortaucipir SUVr and Age; Confirmatory Phase: Diagnostic Performance of Flortaucipir Visual Read; Exploratory Phase: Longitudinal Change in Tau Deposition Over Time, by Amyloid Status; Exploratory Phase: Cross-sectional Flortaucipir Imaging Results; Confirmatory Phase: Relationship Between Neocortical Flortaucipir Uptake and the Subsequent Rate of Cognitive Decline",,2013,2020; Completed,,,
,NCT02079766,P2,CTE,41,baseline scan,Relationship Between Clinical Presentation and Tau Deposition (Subjects at High Risk of CTE Only); Flortaucipir Visual Read as CTE Biomarker,,2014,2020; Completed,,,
,NCT01703702,P4,AD,641,Baseline and 3 m,Change in Patient Management: Individual Categories; Change in Caregiver Self-efficacy; Change in Patient Management: Advice/Counseling; Change in Diagnostic Confidence; Change in Patient's Clinical Diagnosis; Change in ADAS-Cog 11 Total Score; Clinical and Diagnostic Change in Patient Management,,2012,2016; Completed,,,
,NCT02051790,P4,AD,241,Scan acquired 50-60 minutes post injection,Agreement Between Expert Panel and Clinical Practice Reads,,2014,2015; Completed,,,
,NCT00857506,P2,"MCI, AD",152,Baseline and 36 m,Correlation of Change in ADAS-Cog and SUVR; Covariate Adjusted Psychometric Score Change; Cognitive Decline in CN and AD Subjects; Change in ADAS-Cog in CN and AD Subjects; Cognitive Decline in MCI Subjects; Change in ADAS-Cog for MCI Subjects,,2009,2013; Completed,,,
,NCT00857532,P2,PD,31,50-60 min after injection,Correlation of Florbetapir SUVR With CSF Biomarker Values; Correlation Between Global Amyloid Burden and Clinical Measures of Cognitive Decline.; Mean Cortical Amyloid Burden,,2009,2013; Completed,,,
,NCT00855868,P2,AD,28,28 d,Differences in Standard Uptake Value Ratio (SUVR) for Frontal Cortex/Cerebellum and Whole Brain/Cerebellum of the Positron Emission Tomography (PET) Scan With [18F]-AV-45 for Probable Alzheimer's Disease (AD) Versus Cognitively Normal Subjects.,,2009,2012; Completed,,,
,NCT01565382,N/A,AD,40,50-60 min after injection,Overall Inter-reader Agreement - Fleiss' Kappa; Inter-reader Agreement - Median Kappa Statistic,,2012,2012; Completed,,,
,NCT01565330,P1,AD,20,0-90 min after injection,Mean Cortical to Cerebellum SUVR; Florbetapir-PET Scan Quality,,2012,2012; Completed,,,
,NCT01550549,N/A,"AD, MCI",151,Baseline scan,Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Median Sensitivity and Specificity vs. CERAD Diagnosis; Inter-reader Reliability; Specificity of Florbetapir-PET to Detect no or Sparse Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Sensitivity of Florbetapir-PET to Detect Moderate to Frequent Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Inter-rater Reliability,,2012,2012; Completed,,,
,NCT01565356,N/A,AD,41,Scans acquired 30-40 min and 50-60 min post-injection,Agreement of Interpretation Between 30-40 and 50-60 Min Reads - Semi-quantitative Evaluation; Percent Agreement of Interpretation Between 30-40 and 50-60 Min Reads - Qualitative Evaluation,,2012,2012; Completed,,,
,NCT01565369,N/A,AD,35,50-60 min after injection,Inter-reader Agreement; Specificity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque; Sensitivity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque,,2012,2012; Completed,,,
,NCT00857415,P3,AD,226,at autopsy up to 12 m post-scan,Regional Correlation Analysis; Specificity Analysis; Correlation of Florbetapir-PET Image and Amyloid Plaque Density,,2009,2012; Completed,,,
,NCT01447719,P3,AD,110,at autopsy within 24 m of florbetapir PET scan,Median Sensitivity and Specificity vs. CERAD Diagnosis; Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Specificity Analysis in Subjects With Autopsy Within 1 Year of Scan; Sensitivity Analysis in Subjects With Autopsy Within 1 Year of Scan; Correlation of Florbetapir-PET Image and Amyloid Plaque Density; Specificity Analysis in All Autopsy Population; Sensitivity Analysis in All Autopsy Population,,2011,2012; Completed,,,
,NCT01564706,P1,AD,9,0-380 min after injection,Whole Body Radiation Dosimetry,,2012,2012; Completed,,,
,NCT01565291,Early P1,AD,32,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Precuneus to Cerebellum SUVR,,2012,2012; Completed,,,
,NCT00702143,P2,"MCI, AD",184,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Proportion of Positive Florbetapir-PET Scans; Qualitative Amyloid Image Assessment,,2008,2012; Completed,,,
,NCT01565343,P1,AD,25,50-70 min after injection,Mean Cortical to Cerebellum SUVR,,2012,2012; Completed,,,
18F-AV-45,NCT02016560,P2/P3,AD,383,baseline scan,"Exploratory Phase: Correlation Between Flortaucipir SUVr and Age; Confirmatory Phase: Diagnostic Performance of Flortaucipir Visual Read; Exploratory Phase: Longitudinal Change in Tau Deposition Over Time, by Amyloid Status; Exploratory Phase: Cross-sectional Flortaucipir Imaging Results; Confirmatory Phase: Relationship Between Neocortical Flortaucipir Uptake and the Subsequent Rate of Cognitive Decline",,2013,2020; Completed,,,
,NCT02051764,P2,AD,44,baseline scan and at least 6 m after baseline scan,Change in Tau Deposition,,2014,2020; Terminated,,,
,NCT02079766,P2,CTE,41,baseline scan,Relationship Between Clinical Presentation and Tau Deposition (Subjects at High Risk of CTE Only); Flortaucipir Visual Read as CTE Biomarker,,2014,2020; Completed,,,
,NCT01518374,P2,"AD, MCI",1768,48 hours,Number of Participants Experiencing Treatment-emergent Adverse Events Considered Related to Florbetapir Administration,,2012,2018; Completed,,,
