Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
[18F]PI-2620,NCT03510572,Early P1,"AD, PD, FTDLD",20,60-90 minutes post injection,Cross-sectional [18F]PI-2620 Imaging Results; .Assess the rate of change of tau deposition as measured by [18F]PI-2620 uptake (SUVR) over time; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2018,2020; Completed,,,biom,
[18F]PI-2620,NCT03903211,P2,"AD, MCI",72,0-90 minutes post injection,Cross-sectional PI-2620 uptake measured by standard uptake value ratio (SUVR); Changes of PI-2620 uptake over time measured by standard uptake value ratios (SUVR); Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2019,2020; Recruiting,,,biom,
"Home-based MT through Supervised, Supported Singing (H3S), Individualized Music Therapy (IMT)",NCT04666077,N/A,"MCI, AD",100,12 m,Mini Mental Status Exam (MMSE); Neuropsychiatric Inventory (NPI); Activities of Daily Living (ADCS-ADL); Clinician's Global Impression of Change (ADCS-CGIC); The Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog); Zarit Burden Interview,,2020,2020; Recruiting,,,behav,
"Cannabis, Medical",NCT03944447,P2,"PD, CTE, ALS",200000,Five years,Prevention of COVID-19; Treatment of COVID-19; Treatment of Symptoms; Cannabis Impact on Quality of Life; Cannabis Route and Dosing; Monitoring Adverse Events,,2019,2020; Recruiting,,,drug,
"Exoskeleton exercise, Standard exercise, No treatment",NCT03583879,N/A,"PD, MCI",41,2x per week for 8 w,"Change in cognitive function; Change in mood; Change in UPDRS Mentation score; Change in UPDRS Motor score; Change in functional balance; Change in self-report balance confidence (of not falling); Change in gait speed; Change in dual-task gait cost index; Change in dual-task cognitive cost index; Change in six minute walk test score; Change in freezing of gait episodes; Change in physical function, pain, emotional well-being, and other indicators of health-related quality of life; Cumulative exercise dose",,2018,2020; Completed,,,device,
"Peer mentor support and caregiver intervention, Focus group to provide feedback on educational materials and mentoring program",NCT04649164,N/A,"PD, DLB",96,Four 1-hour calls over 16 w,"Mastery Scale; Loneliness scale; Short Zarit Burden Interview (ZBI-12); Hospital Anxiety and Depression Scale (HADS); Geriatric Depression Scale - Short Form (GDS-SF); Dementia Attitudes Scale (DAS); Frequency and duration of mentoring calls; Number of missed calls/weeks; Coverage of target topics; additional topics discussed; Dropout rate of mentors and mentees, respectively; Qualitative feedback in mentor conference calls",,2020,2020; Recruiting,,,behav,
MitoQ,NCT03514875,N/A,"MCI, AD",12,2 Days,Carotid artery blood flow; Oxidative Stress; Cerebrovascular Oxygenation; Brain Electrical Activity; Endothelial Function,,2018,2020; Recruiting,,,suppl,
13C6 Leucine,NCT03545126,,"FTDLD, CBD, PSP",32,6 m,CSF Tau Absolute Concentration; Tau Production Rate; Tau Fractional Turnover Rate (FTR),,2018,2020; Recruiting,,,biom,
"Transcranial doppler ultrasonography, Blood pressure monitoring, Heart rate monitoring, End tidal CO2 monitoring, Addenbrooke's cognitive examination",NCT03134963,,"AD, MCI",42,8 m,Number of Participants in Which the Change in the Autoregulation Index (ARI) Can be Derived; Number of Participants in Which Percentage Change in CBFv Can be Derived; Number of Participants With Rejected Measurements; Percentage of Recruited Subjects Able to Comply With the Protocol,,2017,2020; Completed,,,device,
repetitive transcranial magnetic stimulation (rTMS),NCT04045990,N/A,"MCI, AD",40,Up to 5 w,Boston Naming Test; Western Aphasia Battery-repetition; Western Aphasia Battery-reading comprehension; Western Aphasia Battery-spelling; Controlled Oral Word Association Test; Cambridge Semantic Battery; The Northwestern Anagram Test; Picture Description Test; Changes in intrinsic functional connectivity,,2019,2020; Recruiting,,,device,
Levetiracetam,NCT04643327,P2,"PD, MCI",28,Immediately after 2 w of treatment,Pattern separation performance (behavioural outcome); Hippocampal DG/CA3 subfield activity,,2020,2020; Not yet recruiting,,,drug,biom
"Excitation, Inhibition",NCT03347084,N/A,"AD, MCI",8,"60 Minutes, 1 Week",Change from baseline in fMRI brain scan to 40 minutes.; Change from baseline in Hopkins Verbal Learning Test-Revised45 (HVLT-R); Change from baseline in Brief Visual Memory Test-Revised; Change from baseline in Geriatric Anxiety Inventory (GAI),,2017,2020; Recruiting,,,device,
"1 mA HD-tDCS, 2 mA HD-tDCS, 3 mA HD-tDCS, Sham",NCT03875326,N/A,"MCI, AD",240,"After each HD-tDCS Session, daily",Change in Lateral Temporal Cortex Connectivity; Self-Report of Contentment with Memory; Self-Report of Memory Mistakes; Self-Report of Memory Strategies Used; Change in Memory Functioning; Change in Overall Fluid Cognitive Abilities; Cumulative Working Memory Effects of HD-tDCS across daily sessions; Cumulative Memory Accuracy Effects of HD-tDCS across daily sessions; Cumulative Memory Reaction Time Effects of HD-tDCS across daily sessions; Tolerability of HD-tDCS; Effectiveness of Blinding of HD-tDCS; Change in Default Mode Network Connectivity; Change in Inhibition Ability; Change in Conceptualization Ability; Change in Picture Sequence Memory; Change in Working Memory Ability; Change in Processing Speed; Cumulative Working Memory Performance Effects of HD-tDCS across daily sessions; Change in Global Cognition; Change in Visuospatial Functioning; Change in Language Functioning; Change in Attention; Change in Cognitive Functioning; Cumulative Cognitive Change across Daily Consecutive Sessions,,2019,2020; Recruiting,,,device,
Educational Brochure,NCT04635540,N/A,"PD, FTDLD, AD",75,"through study completion, an average of 1 year",Abbreviated form of the Emotion Evaluation Test (EET) from the Awareness of Social Inference Test (TASIT); Value of educational material; Change in understanding before and after reading the educational material; Caregiver empathy assessment of patient; Caregiver functional assessment of patient; Caregiver neuropsychiatric assessment of patient; Caregiver staging of dementia severity assessment of patient; Change in caregiver burden at 1 month; Change in caregiver mood symptoms at 1 month; Change in caregiver quality of life at 1 month; Recruitment Rate; Retention Rate; Completion Rate,,2020,2020; Enrolling by invitation,,,behav,
"Goal Management Training, Psychoeducation",NCT04636541,N/A,"PD, MCI",12,12 w post-test,"Raw score Change from baseline DEX (self rated) to 3 weeks after beginning of intervention; Raw score Change from baseline DEX (self rated) to 1 week post test; Raw score Change from baseline DEX (self rated) to 4 weeks post test; Raw score Change from baseline DEX (self rated) to 12 weeks post test; Raw score Change from baseline DEX (caregiver rated) to 3 weeks after the beginning of intervention; Raw score Change from baseline DEX (caregiver rated) to 1 week post test; Raw score Change from baseline DEX (caregiver rated) to 4 weeks post test; Raw score Change from baseline DEX (caregiver rated) to 12 weeks post test; Raw score Change from baseline Zoo Map Test to 1 week post test; Raw score Change from baseline Zoo Map Test to 4 weeks post test; Raw score Change from baseline Zoo Map Test to 12 weeks post test; Raw score Change from baseline Parkinson Disease Questionnaire (39 items; PDQ-39) to 3 weeks after the beginning of intervention; Raw score Change from baseline PDQ-39 to 1 week post-test; Raw score Change from baseline PDQ-39 to 4 weeks post-test; Raw score Change from baseline PDQ-39 to 12 weeks post-test; Mean Change from baseline Dementia Rating Scale, 2nd edition (DRS-II) to 1 week post-test; Mean Change from baseline Dementia Rating Scale, 2nd edition (DRS-II) to 4 weeks post-test; Mean Change from baseline Dementia Rating Scale, 2nd edition (DRS-II) to 12 weeks post-test; Raw score Change from baseline Zarit Burden Interview (12 items) to 3 weeks after the beginning of intervention; Raw score Change from baseline Zarit Burden Interview (12 items) to 1 week post-test; Raw score Change from baseline Zarit Burden Interview (12 items) to 4 weeks post-test; Raw score Change from baseline Zarit Burden Interview (12 items) to 12 week post-test; Raw score Change from baseline Neuropsychiatric Inventory, 12 items to 3 weeks after the beginning of intervention (mid-point); Raw score Change from baseline Neuropsychiatric Inventory, 12 items to 1 week post-test; Raw score Change from baseline Neuropsychiatric Inventory, 12 items to 4 weeks post-test; Raw score Change from baseline Neuropsychiatric Inventory, 12 items to 12 weeks post-test; Raw score Change from baseline Apathy Evaluation Scale (AES) to 3 weeks after the beginning of intervention (mid-point); Raw score Change from baseline Apathy Evaluation Scale (AES) to 1 week post-test; Raw score Change from baseline Apathy Evaluation Scale (AES) to 4 weeks post-test; Raw score Change from baseline Apathy Evaluation Scale (AES) to 12 weeks post-test",,2020,2020; Completed,,,behav,
"Insulin detemir, Insulin",NCT01595646,P2,"MCI, AD",37,Change from Baseline in Glucose Tolerance at 16 Weeks,Glucose Tolerance; Cerebral Blood Flow; Plasma Biomarkers of AD; Executive Function Composite; The Alzheimer's Disease Assessment Scale-Cognitive [ADAS-Cog/Alzheimer's Disease Cooperative Study (ADCS)] - MCI Revision; Functional Ability; Cerebral Spinal Fluid (CSF) Biomarkers of AD TTau-P181/Abeta42 Ratio; Cerebral Spinal Fluid (CSF) Biomarkers of AD; Verbal Memory Composite,,2012,2020; Completed,,,drug,
"MHSL- SleepBand, Sham",NCT04589182,N/A,"HD, MCI, PD",12,"before and after intervention (day 1 and 4, day 7 and 10)",Subjective sleep quality; Pilot study: feasibility of acoustic SWS enhancement; Vigilance; Sleep benefit on motor performance; Momentary sleepiness; Average sleepiness; Mood; Restorative effect of sleep; Slow wave enhancement; Auditory stimulation algorithm performance; Pilot study: changes in mood; Pilot study: changes in sleep quality; Pilot study: changes in sleepiness,,2020,2020; Recruiting,,,device,
None-Observation Only,NCT03452956,,"FTDLD, PSP, MSA",997,"This is a natural history study - participants are followed from date of enrollment until death, withdrawl, or funding is no longer available, or until 984 m have passed",Progression; Impaired semantic memory in Semantic Dementia (SD).; Effortful speech in Progressive Nonfluent Aphasia (PNFA); Social disinhibition and rule violation in FTD,,2018,2020; Completed,,,delete,
Resource oriented music therapy,NCT03011723,N/A,"AD, PD",11,Baseline,Change in social interaction behavior throughout the music therapy session compared to baseline(Verbal and Nonverbal Interaction Scale (VNVIS)); Observable signs of well being (OSWDS); Change in self reported mood before and after the music therapy session (Visual Analogue Mood Scale (VAMS)); Change in Neuropsychiatric symptoms (NPI-Q); Change in Quality of life in Alzheimer Dementia (QoL-AD); Change in Relative Stress Scale (RSS); Change in Music in Dementia Assessment Scales (MiDAS); Mini Mental Status Examination (MMSE),,2017,2020; Completed,,,behav,
Neuropsychological assessment and Multimodal brain MRI,NCT04616287,N/A,"AD, DLB",70,m 3,Neuropsychological assessment; Multimodal brain MRI,,2020,2020; Not yet recruiting,,,behav,
CogCheck,NCT03672279,,"DLB, MCI, AD",150,Baseline assessment,Basel Verbal Learning Test (BVLT); Geriatric Depression Scale (GDS); Beck's Depression Inventory (BDI); CogCheck; Mini-Mental State Examination (MMSE); Montreal Cognitive Assessment (MoCA); Consortium to Establish a Registry for Alzheimer's Disease - Neuropsychological Assessment Battery (CERAD-NAB),,2018,2020; Not yet recruiting,,,device,
Betaquik MCT supplement,NCT04322461,N/A,"AD, PD",20,"2 m, evaluation before and after intervention",Cognition; Ketones; Endocannabinoids,,2020,2020; Not yet recruiting,,,suppl,
"Dance Group, Non-Group Dance, Social Group, No Contact",NCT03333837,N/A,"MCI, AD",240,12 w,Change in quality of life in participants with dementia using the QOL-AD; Change in overall mobility using the Expanded Short Physical Performance Battery (eSPPB); Change in Fullerton Advanced Balance Scale (overall balance); Change in graph theory-derived measures of network structure calculated on fMRI images.; Change in mood and neuropsychiatric symptoms using the Neuropsychiatric Inventory Questionnaire; Change in depressive and anxiety symptoms of the person with dementia with the Geriatric Depression and Anxiety Scales; Change in apathy of the person with dementia using the Apathy Evaluation Scale; Change in fear of falling using the Falls Efficacy Scale - International (FES); Change in caregiver quality of life with the SF-36 (covariate or alternative hypothesis); Change in caregiver burden with Zarit Caregiver Burden Scale (covariate or alternative hypothesis); Change in blood-based stress biomarkers (covariate or alternative hypothesis),,2017,2020; Recruiting,,,behav,
Tacrolimus,NCT04263519,P2,"AD, MCI",12,"Baseline, 4 w, 8 w and 12 w","CSF biomarkers of target engagement, AD pathology, and neurodegeneration; Blood biomarkers of target engagement, AD pathology, and neurodegeneration.; Structural neuroimaging of Hippocampal volume.; Functional neuroimaging of default mode network connectivity.; Electroencephalograms (EEG) spectral power; Montreal Cognitive Assessment (MoCA); Neuropsychiatric Inventory Questionnaire (NPIQ); Functional Activities Questionnaire (FAQ); Repeated Battery for the Assessment of Neuropsychological Status",,2020,2020; Not yet recruiting,,,drug,
JNJ-40346527,NCT04121208,P1,"AD, MCI",54,Baseline and visit 3 (Days 14). Serious Adverse Events (Day 14 plus 30 d),Placebo-controlled change from baseline in cerebrospinal fluid (CSF) protein marker concentration levels.; Placebo-controlled change from baseline in CSF and blood biomarker concentration levels; Placebo-controlled change from baseline in amount of CSF extracellular vesicles and cell population.; Measurement of plasma/CSF JNJ-40346527 levels; Measurement of cerebrospinal fluid (CSF) protein marker concentration levels following different JNJ-40346527 doses; Occurrence of adverse events during the study,,2019,2020; Not yet recruiting,,,drug,
Attention Process Training (APT-II),NCT04606953,N/A,"AD, MCI",30,6 m follow-up,"Cognitive Failure Questionnaire; PASAT (Naegele and Mazza, 2004); Mini Mental State MMSE; Digit span; APT-II Attention Questionnaire; Brown Peterson's Paradigm (Peterson and Peterson, 1959); Virtual reality memory task; Continious Performance task CPT; Bravo's Scale",,2020,2020; Recruiting,,,behav,
"Home Visit Program, Usual Care/Online Survey",NCT03552484,N/A,"PD, MSA, DLB, PSP",71,1 year,Change in patient quality of life as measured by the EuroQol 5-D (EQ-5D) scale; Change in caregiver quality of life as measured by the EuroQol 5-D (EQ-5D) scale; Change in caregiver strain as measured by the Multidimensional Caregiver Strain Index (MCSI); Patient satisfaction with the home visit program as measured by the Client Satisfaction Inventory- Short Form (CSI-SF); Caregiver satisfaction with the home visit program as measured by the Client Satisfaction Inventory- Short Form (CSI-SF),,2018,"2020; Active, not recruiting",,,behav,
Multidomain precision medicine intervention,NCT03687710,,"MCI, AD",1000,18 m,"Change from Baseline in Alzheimer's Prevention Initiative Cognitive Composite (APCC) every 6 months; Change from Baseline in Cognitive Aging Composite (CAC) every 6 months; Change from Baseline of Australian National University - Alzheimer's Disease Risk Score (ANU-ADRI) at 6 months; Change in Baseline on Cardiovascular Risk Factors, Aging, and Incidence of Dementia (CAIDE) Risk Score at 18 months; Change from Baseline on American College of Cardiology / American Heart Association Cardiovascular Risk Percentage at 18 months; Change from Baseline on Multi-Ethnic Study of Atherosclerosis (MESA) Risk Percentage at 18 months.; Change from Baseline in Cholesterol Biomarkers at 18 months; Change from Baseline in Inflammatory Biomarkers at 18 months; Change from Baseline in Metabolism Biomarkers at 18 months; Change from Baseline in Homocysteine at 18 months; Change from Baseline in Vitamin D at 18 months",,2018,"2020; Active, not recruiting",,,behav,
"transcranial direct current stimulation, Sham (for transcranial direct current stimulation)",NCT03191916,N/A,"PD, MCI",40,8 minutes; pre-test during the second research visit and post-test on 8th visit 14 d after last tDCS session,Change in Reaction Time (RT) on contextual cueing computer task; Change in Error Rate on contextual cueing computer task; Multidimensional Fatigue Inventory (MFI); Center for Epidemiological Studies Depression Scale (CES-D); McGill Quality of Life (QOL) Scale; Neuropsychological battery (Stroop and Digit Span); Montreal Cognitive Assessment (MOCA),,2017,2020; Recruiting,,,device,
Pittsburgh Compound B [11C]-PIB,NCT02524405,,"PD, MCI, AD",345,One-time assessment,Retinal nerve fiber layer thickness; Amyloid Depostition; Retinal artery narrowing; Retinal venular widening,,2015,2020; Recruiting,,,device,
"Retinal Imaging, Contrast Sensitivity, APOE genotyping, Gait Assessment",NCT03862222,,"AD, MCI",330,5 years,"general cognition; memory; physiological; processing speed, attention; language; Structural retinal biomarkers assessed with OCT; Metabolic retinal biomarkers assessed with OCT; vascular retinal biomarkers assessed with OCT-A",,2019,2020; Recruiting,,,biom,
Progenitor Stem Cell Culture,NCT00927108,P2,"PD, AD",0,,,,2009,2020; Withdrawn,,,stem,
"TMS, Sham-TMS",NCT03243214,N/A,"MCI, PD",41,Blood draw for DNA analysis: Baseline,TMS stimulation applied to the left DLPFC has a quantifiable effect on cognition; Change in structural grey and white matter in the brain at baseline compared to after TMS stimulation; Change in executive functioning measured as BOLD fMRI sequence; Change in levels of biomarkers of interest (alpha-synuclein and BDNF) in serum after TMS stimulation compared to baseline.; Genotyping,,2017,2020; Completed,,,device,
"ACI-35.030, JACI-35.054",NCT04445831,P1/P2,"MCI, AD",32,from baseline up to week 74,"Number of participants with Adverse Events (AEs) assessed by intensity (mild, moderate or severe) and causal relationship (unrelated, unlikely, possibly or probably related); Change from baseline in anti-phosphorylated Tau IgG titers in blood; Mean change from baseline in systolic and diastolic blood pressure (mmHg); Mean change from baseline in heart rate (bpm); Mean change from baseline in body temperature (degree Celsius); Number of participants reporting suicidal ideation or behavior using Columbia-Suicide Severity Rating Scale (C-SSRS); Number of participants with abnormal MRI results; Change from baseline in anti-Tau IgG titers in blood; Change from baseline in anti-phosphorylated Tau IgM titers in blood; Change from baseline in anti-Tau IgM titers in blood; Change from baseline of functional performance using Clinical Dementia Rating scale Sum of Boxes (CDR-SB); Change from baseline of cognitive performance using Repeatable Battery for the Assessment of Neuropsychological Status (RBANS); Change from baseline of behavior using Neuropsychiatric Inventory Scale (NPI)",,2020,2020; Recruiting,,,drug,
"DaTscan, F18-AV-45, FDG-PET, APOE genotype, Polysomnogram",NCT03019757,,"AD, PD",76,Post mortem,"Berg Balance Scale (BBS); Mini Mental State Examination (MMSE-1); Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Vocabulary; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Digit Span; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Block Design; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Matrix Reasoning; Wechsler Adult Intelligence Scale 4th edition (WAIS-4) Reliable Digits (embedded measure); Wechsler Memory Scale 3rd ed. (WAIS-3) Spatial Span; Wechsler Memory Scale 3rd ed. (WAIS-3) Logical Memory 1 & 2; Trail Making Test A; Trail Making Test B; Boston Naming Test; Controlled Oral Word Association Test (COWAT)- Animal Naming; Judgment of Line Orientation Standardized Test; Brief Visuospatial Memory Test (BVMT); California Verbal Learning Test (CVLT-2); Wisconsin Card Sorting Task; California Verbal Learning Test (CVLT-2) Forced Choice (embedded measure); Self Administered Gerocognitive Examination- A brief cognitive assessment instrument for mild cognitive impairment and early dementia; Apolipoprotein E (APOE) Genotyping of a whole blood sample; Clinical Dementia Rating Scale (CDR); The Activities of Daily Living (ADL) Standardized Scale; Mayo Fluctuations Scale; Neuropsychiatric Inventory (NPI); Beck Depression Inventory 2nd ed.; The Modified Somatic Perception Questionnaire; The Epworth Sleepiness Scale; Mayo Sleep Questionnaire-Informant; Functional Outcomes of Sleep Questionnaire-10; Part III and IV of the Movement Disorder Society-sponsored revision of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS); Florbetapir (F18-AV-45) positron emission tomography (amyloid PET); Single-photon emission computed tomography (SPECT) with the radioligand [123I]FP-CIT; Positron emission tomography with 2-(18F) fluoro-2-deoxy-d-glucose (FDG-PET); Brain MRI; Polysomnogram; Lumbar Puncture to obtain cerebrospinal fluid (CSF) that will be stored for future potential evaluation of biomarkers; Post-mortem brain donation to The Ohio State University Neurodegenerative Disease Brain Tissue Repository, for clinicopathological correlations",,2017,2020; Recruiting,,,biom,
Renew NCP-5,NCT03721705,P3,"MCI, AD",250,24 w,"Mean change from baseline to 24 weeks in Vascular Dementia Assessment Scale Coginitive subscale (vADAS-cog) using the average of scores at 12, 18 and 24 weeks.; Number of participants with treatment related adverse events as assessed by MedDRA.; Number of participants with treatment related serious adverse events as assessed by MedDRA.",,2018,"2020; Active, not recruiting",,,device,
intermittent theta burst stimulation,NCT04555941,P2,"MCI, AD",60,"Baseline, immediate post-iTBS, follow-up (4 w post-iTBS)",Changes from baseline in scores of any tests of the Neuropsychological Battery; Brain MRI,,2020,2020; Recruiting,,,device,
"Pittsburgh Compound B (C-11 PiB), F-18 FDG, Tau (18-F-AV-1451)",NCT00950430,P4,"DLB, AD, FTDLD",2500,up to 20 years,"To understand the predictive ability of PiB PET imaging for neurodegenerative diseases.; Using PiB-PET, to ascertain cross-sectionally the magnitude and the spatial distribution of amyloid deposition in the brain in subjects who are clinically classified as CN, MCI, and demented.; To identify the relationship between amyloid burden and the risk of progression from CN at baseline to MCI.; To identify the relationship between amyloid burden and the risk of progression from MCI at baseline to dementia.; To measure longitudinal change in amyloid burden and cognition and characterize the correlation between change on serial PiB-PET measures vs. FDG measures and concurrent change on continuous measures of cognitive performance.",,2009,2020; Enrolling by invitation,,,biom,
"Respecting Choices First Steps, Five Wishes Form",NCT03516994,N/A,"ALS, PD",800,"3 m, 6 m, one year",Proportion of African Americans who complete advance care planning; Proportion of Whites who complete advance care planning; Difference in Proportion of Whites versus African Americans who complete advance care planning; Patient Readiness to Engage in Advance Care Planning; Patient Quality of Life,,2018,2020; Enrolling by invitation,,,behav,
"FDG-PET, ASL-MRI",NCT01727622,,"MCI, AD",102,2 years,Composite region of interest (ROI) measure of cerebral blood flow (CBF) measured by ASL MRI versus composite ROI measure of cerebral metabolism measured by FDG PET; Prediction of longitudinal change in hippocampal volume; Prediction of longitudinal change in clinical status (i.e. progression to Alzheimer's Disease),,2012,2020; Completed,,,biom,
"Flortaucipir F18, Brain PET scan",NCT04468347,P1,"MCI, AD",89,baseline scan,Number of Participants With AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Number of Participants With Advanced AD Pattern Flortaucipir PET Scan and Relationship to Cognitive Status; Flortaucipir PET Imaging (Quantitative),,2020,2020; Completed,,,biom,
"Psycho-social CBT based training, Unspecific group training",NCT02048605,N/A,"MCI, PD",50,"Before and after 9 w of training, after 6 month",Schedule for the Evaluation of Individual Quality of Life-Direct Weighting (SeiQol-DW); Scale for the assessment of management of daily living (Alltagsbewältigungsskala: A-B-S); Burden questionnaire for Patients with Parkinson's Disease (Belastungsfragebogen),,2014,"2020; Active, not recruiting",,,behav,
Advanced Cognitive Stimulation Therapy Hong Kong,NCT04555629,N/A,"DLB, AD",32,Pre test (baseline: week 0) and post test (week 8),Recruitment (feasibility of ACST-HK); Retention rate (feasibility of ACST-HK); Negative of adverse events (acceptability of ACST-HK); Intervention fidelity (acceptability of ACST-HK); Change in cognitive function; Change in quality of life; Change in behaviour; Change in engagement; Change in overall well-being; Change in communication abilities,,2020,2020; Not yet recruiting,,,behav,
No Intervention - Observational Study,NCT02727270,,"PD, HD",220,Collected upon awakening and 30 minutes after awakening,Awakening Salivary Cortisol level (ug/dL) Response,,2016,2020; Recruiting,,,behav,
Cognitive tests,NCT02844855,N/A,"PD, AD",83,Day 1,Number of correct answers,,2016,2020; Terminated,,,device,delete
"Droxidopa, Midodrine",NCT02897063,P1,"PD, MSA",34,Up to 10 min of head up tilt,Stroke volume,,2016,2020; Recruiting,,,drug,
"Transcranial Alternating Current Stimulation (tACS), Sham Transcranial Alternating Current Stimulation",NCT03880240,P1/P2,"MCI, AD",55,up to 16 w,PET amyloid burden; PET tau deposition; Incidence of Treatment-Emergent Adverse Events; Change in Gamma activity; Alzheimer's Disease Assessment Scale -Cog Score; Follow-up Amyloid PET burden; Follow-up Cognitive Evaluation,,2019,2020; Recruiting,,,device,
Advanced Cognitive Stimulation Therapy,NCT04550975,N/A,"DLB, AD",32,"Evaluated by assessor through video recordings for every session; through study completion, 2 years",Recruitment (feasibility of ACST); Retention rate (feasibility of ACST); Negative or adverse events (acceptability of ACST); Intervention fidelity (acceptability of ACST); Change in cognitive function; Change in quality of life; Change in behaviour; Change in communication abilities; Change in engagement; Change in overall well-being,,2020,2020; Not yet recruiting,,,behav,
Supervised Exercise Programme,NCT03923712,N/A,"AD, MCI",98,up to 36 w,Assessed changes from Baseline Neuroimaging Markers of Brain Structures (thickness in mm; volumes in mm); Assessed changes from Baseline Neuroimaging Markers of Brain Function (level of activity in percentage); Assessed changes from Baseline Cognitive Status; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile:Apolipoprotein B; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile:Insulin; Assessed changes from Baseline OMICs Analysis; Assessed changes from Baseline Molecular Makers; Assessed changes from Baseline Physical Health Parameters on Functional capacity: Muscle-skeletal; Assessed changes from Baseline Physical Health Parameters on Functional capacity: Cardiorespiratory fitness; Assessed changes from Baseline Physical Health Parameters on Functional capacity:Agility-motor coordination; Assessed changes from Baseline Physical Health Parameters on Functional capacity: Flexibility; Assessed changes from Baseline Physical Health Parameters on Functional capacity: Handgrip strength; Assessed changes from Baseline Incremental Exercise test:; Assessed changes from Baseline Physical Health by the Scale of instrumental activities of the daily life of Lawton and Brody; Assessed changes from Baseline Physical Health of hemodynamic status; Assessed changes from Baseline Physical Health of Body Composition: Weight; Assessed changes from Baseline Physical Health of Body Composition:Height; Assessed changes from Baseline Physical Health of Body Composition: Waist Circumference; Assessed changes from Baseline Physical Health of Body Composition: Body mass index; Assessed changes from Baseline Physical Health of Body Composition: Total body fluids; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile: Glucose.; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile:Total cholesterol; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile:HDL cholesterol; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile: LDL Cholesterol; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile:triglycerides; Assessed changes from Baseline Blood Sample of the Cardio-metabolic Risk Factors Profile: HOMA; Assessed changes from Baseline Blood Sample of the Antioxidant Capacity; Assessed changes from Baseline Blood Sample of the Neurotrophic Factor Derived from the Brain (neurotransmitter); Assessed of Baseline levels for Cerebrospinal fluid:; Assessed changes from Baseline Quality of life as assessed through the quality of life questionnaire related to health (Short-Form Health Survey 36 -SF36); Assessed changes from Baseline of Depression using the Geriatric Depression Scale (GDS); Assessed changes from Baseline of Sociodemographic Characteristics: Age.; Assessed changes from Baseline of Sociodemographic Characteristics.Sex.; Assessed changes from Baseline of Sociodemographic Characteristics.Marital Status.; Assessed changes from Baseline of Sociodemographic Characteristics.Educational level and socio-economic status.; Assessed changes from Baseline of Sociodemographic Characteristics.Family history of dementia.; Assessed changes from Baseline of Sociodemographic Characteristics.Medication.; Assessed changes from Baseline of Sociodemographic Characteristics. Other pathologies.,,2019,"2020; Active, not recruiting",,,behav,
"In-laboratory polysomnography, Home Sleep Apnea Test",NCT04335994,N/A,"MCI, AD, PD, DLB",304,6 m,Patient satisfaction for each strategy and treatment (as assessed by a Likert scale); Proportion of patients diagnosed with OSA and treated using CPAP; Cognitive Outcomes (as assessed by the Montreal Cognitive Assessment); Proportion of patients who complete sleep testing; Cognitive Outcomes (as assessed by the Psychomotor Vigilance Task); Sleep-related quality of life (as assessed by the Functional Outcomes of Sleep Questionnaire); Mood (as assessed by the Geriatric Depression Scale); Daytime Sleepiness (as assessed by the Epworth Sleepiness Scale); Health Related Quality of Life (as assessed by the EQ-5D-5L); Cost to deliver each management strategy and treatment,,2020,2020; Recruiting,,,device,
"Technology based social interactions, No research related technology based social interactions",NCT04480112,N/A,"AD, MCI",150,1 month,Change in memory performance; Change in cognition; Change in phonemic fluency; Social isolation; Loneliness; Depressive symptoms; Misinformation about Covid-19,,2020,2020; Enrolling by invitation,,,device,
AGB101 220 mg tablet,NCT03486938,P2/P3,"AD, MCI",160,78 w,CDR-SB; MMSE; FAQ,,2018,2020; Recruiting,,,drug,
Retinal Imaging,NCT03233646,N/A,"PD, AD, MCI, HD",1000,12 m,Choroidal Thickness; Foveal avascular zone; Vessel Density,,2017,2020; Recruiting,,,biom,
